regime,candidate_model,bin_index,lower_bound,upper_bound,rows,mean_predicted_probability,observed_positive_rate,calibration_gap
LEGACY,prevalence,1,0,0.1,19005,0.027783,0.01768,0.010104
LEGACY,prevalence,2,0.1,0.2,0,,,
LEGACY,prevalence,3,0.2,0.3,0,,,
LEGACY,prevalence,4,0.3,0.4,0,,,
LEGACY,prevalence,5,0.4,0.5,0,,,
LEGACY,prevalence,6,0.5,0.6,0,,,
LEGACY,prevalence,7,0.6,0.7,0,,,
LEGACY,prevalence,8,0.7,0.8,0,,,
LEGACY,prevalence,9,0.8,0.9,0,,,
LEGACY,prevalence,10,0.9,1,0,,,
LEGACY,lagged_cost_rule,1,0,0.1,18835,0,0.017361,0.017361
LEGACY,lagged_cost_rule,2,0.1,0.2,0,,,
LEGACY,lagged_cost_rule,3,0.2,0.3,0,,,
LEGACY,lagged_cost_rule,4,0.3,0.4,0,,,
LEGACY,lagged_cost_rule,5,0.4,0.5,0,,,
LEGACY,lagged_cost_rule,6,0.5,0.6,0,,,
LEGACY,lagged_cost_rule,7,0.6,0.7,0,,,
LEGACY,lagged_cost_rule,8,0.7,0.8,0,,,
LEGACY,lagged_cost_rule,9,0.8,0.9,0,,,
LEGACY,lagged_cost_rule,10,0.9,1,170,1,0.052941,0.947059
LEGACY,logistic_unweighted,1,0,0.1,16185,0.020999,0.017053,0.003946
LEGACY,logistic_unweighted,2,0.1,0.2,684,0.137132,0.035088,0.102044
LEGACY,logistic_unweighted,3,0.2,0.3,466,0.253346,0.021459,0.231887
LEGACY,logistic_unweighted,4,0.3,0.4,700,0.352807,0.017143,0.335664
LEGACY,logistic_unweighted,5,0.4,0.5,546,0.44615,0.012821,0.43333
LEGACY,logistic_unweighted,6,0.5,0.6,284,0.548863,0.014085,0.534778
LEGACY,logistic_unweighted,7,0.6,0.7,96,0.635427,0.010417,0.625011
LEGACY,logistic_unweighted,8,0.7,0.8,34,0.744771,0.029412,0.715359
LEGACY,logistic_unweighted,9,0.8,0.9,6,0.839223,0.166667,0.672557
LEGACY,logistic_unweighted,10,0.9,1,4,0.918007,0,0.918007
LEGACY,logistic_balanced,1,0,0.1,3733,0.055219,0.013662,0.041557
LEGACY,logistic_balanced,2,0.1,0.2,2773,0.146196,0.01767,0.128525
LEGACY,logistic_balanced,3,0.2,0.3,3920,0.252577,0.012245,0.240333
LEGACY,logistic_balanced,4,0.3,0.4,3116,0.344449,0.016367,0.328082
LEGACY,logistic_balanced,5,0.4,0.5,1411,0.444147,0.028349,0.415799
LEGACY,logistic_balanced,6,0.5,0.6,749,0.543528,0.020027,0.523501
LEGACY,logistic_balanced,7,0.6,0.7,500,0.651241,0.028,0.623241
LEGACY,logistic_balanced,8,0.7,0.8,472,0.749986,0.040254,0.709732
LEGACY,logistic_balanced,9,0.8,0.9,1018,0.858342,0.026523,0.831819
LEGACY,logistic_balanced,10,0.9,1,1313,0.938687,0.016756,0.921932
LEGACY,catboost_unweighted,1,0,0.1,18585,0.014326,0.016895,0.00257
LEGACY,catboost_unweighted,2,0.1,0.2,293,0.139066,0.054608,0.084459
LEGACY,catboost_unweighted,3,0.2,0.3,52,0.248148,0.019231,0.228917
LEGACY,catboost_unweighted,4,0.3,0.4,43,0.345451,0.069767,0.275683
LEGACY,catboost_unweighted,5,0.4,0.5,12,0.4404,0.083333,0.357066
LEGACY,catboost_unweighted,6,0.5,0.6,5,0.564355,0,0.564355
