regime,candidate_model,raw_brier_score,raw_ece_10bin,raw_mce_10bin,calibration_slope,calibration_intercept,historical_platt_brier,historical_platt_ece,historical_calibration_improves_brier,calibration_recommendation
LEGACY,prevalence,0.0174783986205343,0.0101036626708274,0.0101036626708274,1.04618567594098,-0.29485297070424,0.0167597155028013,0.00170388706898595,True,PLATT_SCALING_TESTABLE
LEGACY,lagged_cost_rule,0.0256774533017627,0.0256774533017627,0.947058823529412,0.0417013371953497,-3.45999942757635,0.0167476291150857,0.000705674136680226,True,PLATT_SCALING_TESTABLE
LEGACY,logistic_unweighted,0.0363283511848305,0.0503655688399441,0.91800736188261,0.0799366413514237,-3.720815229173,0.0167635948150432,0.000948505843542159,True,PLATT_SCALING_TESTABLE
LEGACY,logistic_balanced,0.192614429668564,0.324053553386868,0.921931720571894,0.106048827045494,-3.94430250698867,0.0167442169499962,0.000230218938116433,True,PLATT_SCALING_TESTABLE
LEGACY,catboost_unweighted,0.01834404261395,0.00593278502650216,0.823152866611832,0.354311697767652,-2.47839964461573,0.0167042984019049,0.000208708908691933,True,PLATT_SCALING_TESTABLE
LEGACY,catboost_balanced,0.0404879867075771,0.0837383626034871,0.78690866318911,0.155084082698097,-3.59216658998206,0.0167443533041253,0.000828124121576981,True,PLATT_SCALING_TESTABLE
MODERN,prevalence,0.0173246772363161,0.0126666835122916,0.0126666835122916,-5.49165545130751,-23.5840324492066,0.0226747646653797,0.016603133965674,False,KEEP_RAW_PROBABILITIES
MODERN,lagged_cost_rule,0.0607674615663963,0.0607674615663963,1,-0.187396844901924,-6.58279465468654,0.0225716104967945,0.0149126710761697,True,PLATT_SCALING_TESTABLE
MODERN,logistic_unweighted,0.0203551473923059,0.0101874350409655,0.853348498025808,-0.268249752133543,-5.3217166318778,0.0225275103782054,0.014700326950055,False,KEEP_RAW_PROBABILITIES
MODERN,logistic_balanced,0.171466661552267,0.30276399627406,0.933644627846816,-0.0549871413411629,-4.10476509923428,0.0225878528515405,0.0154007820087169,True,PLATT_SCALING_TESTABLE
MODERN,catboost_unweighted,0.0190644193510627,0.0111469499795239,0.876486102332179,0.0597026500707212,-3.73336377926133,0.022599628769851,0.0144913259953149,False,KEEP_RAW_PROBABILITIES
MODERN,catboost_balanced,0.0279012298939283,0.0296069907991508,0.946259159247633,0.1184952705543,-3.5132983881359,0.0225976963048402,0.0148217096958454,True,PLATT_SCALING_TESTABLE
