regime,candidate_model,feature_name,importance_type,importance_value,rank
LEGACY,logistic_unweighted,sector,MEAN_STANDARDIZED_COEFFICIENT,0.746446,1
LEGACY,logistic_unweighted,agency,MEAN_STANDARDIZED_COEFFICIENT,-0.507291,2
LEGACY,logistic_unweighted,state,MEAN_STANDARDIZED_COEFFICIENT,-1.159422,3
LEGACY,logistic_unweighted,original_cost,MEAN_STANDARDIZED_COEFFICIENT,-0.233448,4
LEGACY,logistic_unweighted,cumulative_expenditure_t,MEAN_STANDARDIZED_COEFFICIENT,0,5
LEGACY,logistic_unweighted,revised_cost_t,MEAN_STANDARDIZED_COEFFICIENT,0.151567,6
LEGACY,logistic_unweighted,physical_progress_t,MEAN_STANDARDIZED_COEFFICIENT,0,7
LEGACY,logistic_unweighted,project_age_months,MEAN_STANDARDIZED_COEFFICIENT,0.178421,8
LEGACY,logistic_unweighted,months_to_original_schedule,MEAN_STANDARDIZED_COEFFICIENT,-0.32439,9
LEGACY,logistic_unweighted,months_to_effective_schedule,MEAN_STANDARDIZED_COEFFICIENT,0.013963,10
LEGACY,logistic_unweighted,schedule_revision_lag_months,MEAN_STANDARDIZED_COEFFICIENT,-0.427558,11
LEGACY,logistic_unweighted,schedule_has_been_revised,MEAN_STANDARDIZED_COEFFICIENT,0.163913,12
LEGACY,logistic_unweighted,months_since_start,MEAN_STANDARDIZED_COEFFICIENT,0,13
LEGACY,logistic_unweighted,expenditure_to_original_cost_ratio,MEAN_STANDARDIZED_COEFFICIENT,-0.213048,14
LEGACY,logistic_unweighted,revised_to_original_cost_ratio,MEAN_STANDARDIZED_COEFFICIENT,-0.034505,15
LEGACY,logistic_unweighted,cost_has_been_revised,MEAN_STANDARDIZED_COEFFICIENT,0.156922,16
LEGACY,logistic_unweighted,exp_delta_1m,MEAN_STANDARDIZED_COEFFICIENT,0.011805,17
LEGACY,logistic_unweighted,exp_delta_3m,MEAN_STANDARDIZED_COEFFICIENT,0.058847,18
LEGACY,logistic_unweighted,past_exp_stagnant_3m,MEAN_STANDARDIZED_COEFFICIENT,-0.393232,19
LEGACY,logistic_unweighted,past_progress_delta_3m,MEAN_STANDARDIZED_COEFFICIENT,-0.031693,20
LEGACY,logistic_unweighted,past_progress_stagnant_3m,MEAN_STANDARDIZED_COEFFICIENT,0,21
LEGACY,logistic_unweighted,n_prior_schedule_extensions,MEAN_STANDARDIZED_COEFFICIENT,0,22
LEGACY,logistic_unweighted,n_prior_cost_revisions,MEAN_STANDARDIZED_COEFFICIENT,-0.534804,23
LEGACY,logistic_unweighted,observed_tenure_months,MEAN_STANDARDIZED_COEFFICIENT,0.159862,24
LEGACY,logistic_unweighted,state_is_missing,MEAN_STANDARDIZED_COEFFICIENT,0,25
LEGACY,logistic_unweighted,approval_date_is_missing,MEAN_STANDARDIZED_COEFFICIENT,-1.460113,26
LEGACY,logistic_unweighted,original_completion_date_is_missing,MEAN_STANDARDIZED_COEFFICIENT,-0.32439,27
LEGACY,logistic_unweighted,revised_cost_is_present,MEAN_STANDARDIZED_COEFFICIENT,-0.223657,28
LEGACY,logistic_unweighted,revised_date_is_present,MEAN_STANDARDIZED_COEFFICIENT,0,29
LEGACY,logistic_unweighted,physical_progress_is_present,MEAN_STANDARDIZED_COEFFICIENT,0.041997,30
LEGACY,logistic_unweighted,physical_progress_supported,MEAN_STANDARDIZED_COEFFICIENT,-0.114887,31
LEGACY,logistic_unweighted,start_date_is_present,MEAN_STANDARDIZED_COEFFICIENT,0.142052,32
LEGACY,logistic_unweighted,start_date_supported,MEAN_STANDARDIZED_COEFFICIENT,-0.237982,33
LEGACY,logistic_unweighted,exp_delta_1m_is_supported,MEAN_STANDARDIZED_COEFFICIENT,-0.172871,34
LEGACY,logistic_unweighted,exp_delta_3m_is_supported,MEAN_STANDARDIZED_COEFFICIENT,-0.237982,35
LEGACY,logistic_unweighted,progress_delta_3m_is_supported,MEAN_STANDARDIZED_COEFFICIENT,0.018634,36
LEGACY,logistic_balanced,sector,MEAN_STANDARDIZED_COEFFICIENT,0.769304,1
LEGACY,logistic_balanced,agency,MEAN_STANDARDIZED_COEFFICIENT,-0.787888,2
LEGACY,logistic_balanced,state,MEAN_STANDARDIZED_COEFFICIENT,-5.061241,3
LEGACY,logistic_balanced,original_cost,MEAN_STANDARDIZED_COEFFICIENT,-0.270234,4
LEGACY,logistic_balanced,cumulative_expenditure_t,MEAN_STANDARDIZED_COEFFICIENT,0,5
LEGACY,logistic_balanced,revised_cost_t,MEAN_STANDARDIZED_COEFFICIENT,0.146017,6
LEGACY,logistic_balanced,physical_progress_t,MEAN_STANDARDIZED_COEFFICIENT,0,7
LEGACY,logistic_balanced,project_age_months,MEAN_STANDARDIZED_COEFFICIENT,0.267074,8
LEGACY,logistic_balanced,months_to_original_schedule,MEAN_STANDARDIZED_COEFFICIENT,0.038807,9
LEGACY,logistic_balanced,months_to_effective_schedule,MEAN_STANDARDIZED_COEFFICIENT,-0.099236,10
