fold_id,regime,evaluation_origin,candidate_model,training_rows,training_positives,evaluation_rows,evaluation_positives,average_precision,roc_auc,brier_score,precision,recall,f1,specificity,predicted_positives,predicted_positive_rate,observed_prevalence
LEGACY_2023_07,LEGACY,2023-07,prevalence,4060,132,1523,31,0.0203545633617859,0.5,0.0200880660436214,,0,0,1,0,0,0.0203545633617859
LEGACY_2023_07,LEGACY,2023-07,lagged_cost_rule,4060,132,1523,31,0.0205468609782988,0.503729568451094,0.0439921208141825,0.0263157894736842,0.032258064516129,0.0289855072463768,0.975201072386059,38,0.0249507550886408,0.0203545633617859
LEGACY_2023_07,LEGACY,2023-07,logistic_unweighted,4060,132,1523,31,0.0364404014815223,0.445407766150653,0.175804344395402,0.0113636363636364,0.129032258064516,0.02088772845953,0.766756032171582,352,0.231122783978989,0.0203545633617859
LEGACY_2023_07,LEGACY,2023-07,logistic_balanced,4060,132,1523,31,0.0385570166599421,0.463504280895961,0.712875986761941,0.0213940648723257,1,0.0418918918918919,0.049597855227882,1449,0.951411687458963,0.0203545633617859
LEGACY_2023_07,LEGACY,2023-07,catboost_unweighted,4060,132,1523,31,0.0209332591506004,0.495005621378535,0.0257420586046657,0,0,,0.994638069705094,8,0.00525279054497702,0.0203545633617859
LEGACY_2023_07,LEGACY,2023-07,catboost_balanced,4060,132,1523,31,0.0256854869220607,0.516907376978293,0.0682816197264258,0.0350877192982456,0.129032258064516,0.0551724137931034,0.92627345844504,114,0.0748522652659225,0.0203545633617859
LEGACY_2023_08,LEGACY,2023-08,prevalence,5574,193,1638,35,0.0213675213675214,0.5,0.0210867123270474,,0,0,1,0,0,0.0213675213675214
LEGACY_2023_08,LEGACY,2023-08,lagged_cost_rule,5574,193,1638,35,0.0213675213675214,0.497504678727386,0.0262515262515263,0,0,,0.995009357454772,8,0.00488400488400488,0.0213675213675214
LEGACY_2023_08,LEGACY,2023-08,logistic_unweighted,5574,193,1638,35,0.0240915382890875,0.448961768113359,0.083545420740009,0.0612244897959184,0.0857142857142857,0.0714285714285714,0.971303805364941,49,0.0299145299145299,0.0213675213675214
LEGACY_2023_08,LEGACY,2023-08,logistic_balanced,5574,193,1638,35,0.0355066312107606,0.452597807682025,0.610911387022937,0.0218818380743982,0.857142857142857,0.042674253200569,0.163443543356207,1371,0.836996336996337,0.0213675213675214
LEGACY_2023_08,LEGACY,2023-08,catboost_unweighted,5574,193,1638,35,0.0382457914209916,0.47330897424472,0.0251575575222027,0.142857142857143,0.0285714285714286,0.0476190476190476,0.996257018091079,7,0.00427350427350427,0.0213675213675214
LEGACY_2023_08,LEGACY,2023-08,catboost_balanced,5574,193,1638,35,0.03261514236844,0.520345780233491,0.0615773716077537,0.058252427184466,0.171428571428571,0.0869565217391304,0.939488459139114,103,0.0628815628815629,0.0213675213675214
LEGACY_2024_06,LEGACY,2024-06,prevalence,11864,346,1696,23,0.013561320754717,0.5,0.0136208504728419,,0,0,1,0,0,0.013561320754717
LEGACY_2024_06,LEGACY,2024-06,lagged_cost_rule,11864,346,1696,23,0.013561320754717,0.5,0.013561320754717,,0,0,1,0,0,0.013561320754717
LEGACY_2024_06,LEGACY,2024-06,logistic_unweighted,11864,346,1696,23,0.0105676433120653,0.381116972894306,0.0135406757621708,,0,0,1,0,0,0.013561320754717
LEGACY_2024_06,LEGACY,2024-06,logistic_balanced,11864,346,1696,23,0.0234583972573677,0.401803581174147,0.0317646568801745,0.25,0.0434782608695652,0.0740740740740741,0.998206814106396,4,0.00235849056603774,0.013561320754717
LEGACY_2024_06,LEGACY,2024-06,catboost_unweighted,11864,346,1696,23,0.0215551127739437,0.535824735570051,0.0135026464419636,,0,0,1,0,0,0.013561320754717
LEGACY_2024_06,LEGACY,2024-06,catboost_balanced,11864,346,1696,23,0.0110977317584227,0.329816263416409,0.034688225099227,0,0,,0.984459055588763,26,0.0153301886792453,0.013561320754717
LEGACY_2024_07,LEGACY,2024-07,prevalence,11864,346,1627,22,0.0135218192993239,0.5,0.0135836530470453,,0,0,1,0,0,0.0135218192993239
LEGACY_2024_07,LEGACY,2024-07,lagged_cost_rule,11864,346,1627,22,0.0137984567465026,0.507150948739734,0.0436385986478181,0.0196078431372549,0.0454545454545455,0.0273972602739726,0.968847352024922,51,0.0313460356484327,0.0135218192993239
LEGACY_2024_07,LEGACY,2024-07,logistic_unweighted,11864,346,1627,22,0.0117754315523414,0.42868875672614,0.013560011374853,,0,0,1,0,0,0.0135218192993239
LEGACY_2024_07,LEGACY,2024-07,logistic_balanced,11864,346,1627,22,0.0222485705529018,0.421098838855848,0.0425791226304316,0.166666666666667,0.0454545454545455,0.0714285714285714,0.996884735202492,6,0.00368776889981561,0.0135218192993239
LEGACY_2024_07,LEGACY,2024-07,catboost_unweighted,11864,346,1627,22,0.0693503430342737,0.521920135938828,0.0133730334420954,,0,0,1,0,0,0.0135218192993239
LEGACY_2024_07,LEGACY,2024-07,catboost_balanced,11864,346,1627,22,0.0154905238316133,0.446587369017276,0.0325948069704591,0,0,,0.985669781931464,23,0.0141364474492932,0.0135218192993239
LEGACY_2024_08,LEGACY,2024-08,prevalence,11864,346,1621,22,0.013571869216533,0.5,0.013630783666993,,0,0,1,0,0,0.013571869216533
LEGACY_2024_08,LEGACY,2024-08,lagged_cost_rule,11864,346,1621,22,0.013571869216533,0.496560350218887,0.0203578038247995,0,0,,0.993120700437774,11,0.0067859346082665,0.013571869216533
LEGACY_2024_08,LEGACY,2024-08,logistic_unweighted,11864,346,1621,22,0.0145923761824105,0.533913241230314,0.0135913245443869,,0,0,1,0,0,0.013571869216533
LEGACY_2024_08,LEGACY,2024-08,logistic_balanced,11864,346,1621,22,0.0143677893276354,0.512450963670476,0.0380923705272373,0,0,,0.996873045653533,5,0.00308451573103023,0.013571869216533
LEGACY_2024_08,LEGACY,2024-08,catboost_unweighted,11864,346,1621,22,0.0322245636777841,0.545738814031497,0.0134400580964579,,0,0,1,0,0,0.013571869216533
LEGACY_2024_08,LEGACY,2024-08,catboost_balanced,11864,346,1621,22,0.0175861475998007,0.496531923361192,0.0309196074559089,0,0,,0.988117573483427,19,0.0117211597779149,0.013571869216533
LEGACY_2024_09,LEGACY,2024-09,prevalence,11864,346,1608,30,0.0186567164179104,0.5,0.0184190433546016,,0,0,1,0,0,0.0186567164179104
LEGACY_2024_09,LEGACY,2024-09,lagged_cost_rule,11864,346,1608,30,0.0186567164179104,0.496831432192649,0.0248756218905473,0,0,,0.993662864385298,10,0.00621890547263682,0.0186567164179104
LEGACY_2024_09,LEGACY,2024-09,logistic_unweighted,11864,346,1608,30,0.018867888870159,0.52120828052387,0.0204294021683358,0,0,,0.998098859315589,3,0.00186567164179104,0.0186567164179104
LEGACY_2024_09,LEGACY,2024-09,logistic_balanced,11864,346,1608,30,0.0200174935600197,0.50361216730038,0.0515805864700133,0,0,,0.990494296577947,15,0.00932835820895522,0.0186567164179104
LEGACY_2024_09,LEGACY,2024-09,catboost_unweighted,11864,346,1608,30,0.0266473578895026,0.532171525137305,0.0186323736693636,,0,0,1,0,0,0.0186567164179104
LEGACY_2024_09,LEGACY,2024-09,catboost_balanced,11864,346,1608,30,0.0229216000314453,0.531622306717364,0.0407733056210889,0.0294117647058824,0.0333333333333333,0.03125,0.979087452471483,34,0.0211442786069652,0.0186567164179104
LEGACY_2024_10,LEGACY,2024-10,prevalence,13560,369,1609,32,0.0198881292728403,0.5,0.0195462363729922,,0,0,1,0,0,0.0198881292728403
LEGACY_2024_10,LEGACY,2024-10,lagged_cost_rule,13560,369,1609,32,0.025516625233064,0.514356769181991,0.0217526413921691,0.2,0.03125,0.0540540540540541,0.997463538363982,5,0.00310752019888129,0.0198881292728403
LEGACY_2024_10,LEGACY,2024-10,logistic_unweighted,13560,369,1609,32,0.0369834336348638,0.610672954977806,0.0221094467431098,0,0,,0.997463538363982,4,0.00248601615910503,0.0198881292728403
LEGACY_2024_10,LEGACY,2024-10,logistic_balanced,13560,369,1609,32,0.0311752779382604,0.610435161699429,0.124054489534808,0.03125,0.15625,0.0520833333333333,0.901712111604312,160,0.0994406463642014,0.0198881292728403
LEGACY_2024_10,LEGACY,2024-10,catboost_unweighted,13560,369,1609,32,0.0386588253524141,0.64426125554851,0.0200451787805859,0,0,,0.999365884590996,1,0.000621504039776259,0.0198881292728403
LEGACY_2024_10,LEGACY,2024-10,catboost_balanced,13560,369,1609,32,0.027812615017501,0.547756816740647,0.0313168653260904,0.0833333333333333,0.03125,0.0454545454545455,0.993024730500951,12,0.0074580484773151,0.0198881292728403
LEGACY_2024_11,LEGACY,2024-11,prevalence,15187,391,1571,32,0.0203691915977085,0.5,0.0199831945122692,,0,0,1,0,0,0.0203691915977085
LEGACY_2024_11,LEGACY,2024-11,lagged_cost_rule,15187,391,1571,32,0.0203691915977085,0.496426250812216,0.0273711012094207,0,0,,0.992852501624431,11,0.00700190961171229,0.0203691915977085
LEGACY_2024_11,LEGACY,2024-11,logistic_unweighted,15187,391,1571,32,0.0267164003496188,0.55171783625731,0.0224166576829572,0,0,,0.997400909681611,4,0.00254614894971356,0.0203691915977085
LEGACY_2024_11,LEGACY,2024-11,logistic_balanced,15187,391,1571,32,0.0280748813085586,0.599943144899285,0.118759043718087,0.0232558139534884,0.09375,0.0372670807453416,0.91812865497076,129,0.0821133036282623,0.0203691915977085
LEGACY_2024_11,LEGACY,2024-11,catboost_unweighted,15187,391,1571,32,0.0516392106846729,0.70274935022742,0.0201579428389566,0,0,,0.998700454840806,2,0.00127307447485678,0.0203691915977085
LEGACY_2024_11,LEGACY,2024-11,catboost_balanced,15187,391,1571,32,0.0296543804867528,0.605689571150097,0.0301779942886965,0,0,,0.99090318388564,14,0.00891152132399745,0.0203691915977085
LEGACY_2024_12,LEGACY,2024-12,prevalence,16808,413,1570,29,0.0184713375796178,0.5,0.0181673608664356,,0,0,1,0,0,0.0184713375796178
LEGACY_2024_12,LEGACY,2024-12,lagged_cost_rule,16808,413,1570,29,0.0235815213412402,0.51561905614357,0.0210191082802548,0.166666666666667,0.0344827586206897,0.0571428571428571,0.99675535366645,6,0.00382165605095541,0.0184713375796178
LEGACY_2024_12,LEGACY,2024-12,logistic_unweighted,16808,413,1570,29,0.0269043694987526,0.580523171250196,0.0208439790993543,0,0,,0.99740428293316,4,0.00254777070063694,0.0184713375796178
LEGACY_2024_12,LEGACY,2024-12,logistic_balanced,16808,413,1570,29,0.0238847739916608,0.562957327306496,0.116315902460505,0.0151515151515152,0.0689655172413793,0.0248447204968944,0.915639195327709,132,0.0840764331210191,0.0184713375796178
LEGACY_2024_12,LEGACY,2024-12,catboost_unweighted,16808,413,1570,29,0.0537590904261856,0.697061916802793,0.0184105422184801,0,0,,0.99935107073329,1,0.000636942675159236,0.0184713375796178
LEGACY_2024_12,LEGACY,2024-12,catboost_balanced,16808,413,1570,29,0.0545782623683369,0.667412562375529,0.0346160791103338,0.115384615384615,0.103448275862069,0.109090909090909,0.985074626865672,26,0.0165605095541401,0.0184713375796178
LEGACY_2025_01,LEGACY,2025-01,prevalence,18416,443,1553,25,0.0160978750804894,0.5,0.0159020520315545,,0,0,1,0,0,0.0160978750804894
