regime,candidate_model,total_folds,total_evaluation_rows,total_positives,observed_prevalence,micro_average_precision,macro_average_precision,row_weighted_average_precision,micro_roc_auc,macro_roc_auc,row_weighted_roc_auc,micro_brier_score,macro_brier_score,row_weighted_brier_score,ece_10bin,mce_10bin,calibration_slope,calibration_intercept,micro_precision,micro_recall,micro_f1,micro_predicted_positive_rate
LEGACY,prevalence,12,19005,336,0.01768,0.0180705887433215,0.0177137604928244,0.0176795580110497,0.501579442238088,0.5,0.5,0.0174783986205343,0.0175093475484055,0.0174783986205343,0.0101036626708274,0.0101036626708274,1.04618567594098,-0.29485297070424,,0,0,0
LEGACY,lagged_cost_rule,12,19005,336,0.01768,0.0186240656483588,0.0213244117143008,0.0211987269005732,0.509080896137983,0.508659946309825,0.508453646363239,0.0256774533017627,0.0257336968773215,0.0256774533017627,0.0256774533017627,0.947058823529412,0.0417013371953497,-3.45999942757635,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.00894501446987635
LEGACY,logistic_unweighted,12,19005,336,0.01768,0.0207416873934996,0.027008168102253,0.0266825316594557,0.54943769783879,0.522585372243471,0.520663920017541,0.0363283511848305,0.0366854351507368,0.0363283511848305,0.0503655688399441,0.91800736188261,0.0799366413514237,-3.720815229173,0.0165094339622642,0.0208333333333333,0.0184210526315789,0.0223099184425151
LEGACY,logistic_balanced,12,19005,336,0.01768,0.0228561934164771,0.0302599358848228,0.0300101023972949,0.558447891717617,0.538841913671734,0.536157463469077,0.192614429668564,0.194516803522268,0.192614429668564,0.324053553386868,0.921931720571894,0.106048827045494,-3.94430250698867,0.0239387956564659,0.288690476190476,0.0442114858705561,0.213207050776112
LEGACY,catboost_unweighted,12,19005,336,0.01768,0.0279188042007945,0.0470395803418137,0.0466838685098857,0.602086968083071,0.607305187317081,0.605313723556626,0.01834404261395,0.0183837151152727,0.01834404261395,0.00593278502650216,0.823152866611832,0.354311697767652,-2.47839964461573,0.05,0.00297619047619048,0.00561797752808989,0.00105235464351486
LEGACY,catboost_balanced,12,19005,336,0.01768,0.0266465616469399,0.0362990930742936,0.0357084931414948,0.55338044479134,0.551281109475523,0.548546846585599,0.0404879867075771,0.0406141104406368,0.0404879867075771,0.0837383626034871,0.78690866318911,0.155084082698097,-3.59216658998206,0.0522088353413655,0.0773809523809524,0.0623501199040767,0.0262036306235201
MODERN,prevalence,5,8261,143,0.01731,0.0137449116447243,0.0170926445510687,0.0173102529960053,0.277885024559082,0.5,0.5,0.0173246772363161,0.0171251073278308,0.0173246772363161,0.0126666835122916,0.0126666835122916,-5.49165545130751,-23.5840324492066,,0,0,0
MODERN,lagged_cost_rule,5,8261,143,0.01731,0.0173102529960053,0.0170926445510687,0.0173102529960053,0.477888642522789,0.4786193966364,0.478071380591739,0.0607674615663963,0.0594647910757086,0.0607674615663963,0.0607674615663963,1,-0.187396844901924,-6.58279465468654,0,0,,0.043457208570391
MODERN,logistic_unweighted,5,8261,143,0.01731,0.01785646888864,0.0198714398147519,0.0200442396296873,0.302602177325015,0.398025952314183,0.382889798476593,0.0203551473923059,0.0207655724427569,0.0203551473923059,0.0101874350409655,0.853348498025808,-0.268249752133543,-5.3217166318778,0.0666666666666667,0.013986013986014,0.023121387283237,0.00363152160755357
MODERN,logistic_balanced,5,8261,143,0.01731,0.021012752281326,0.0221687885946511,0.0222029094173368,0.389548305845423,0.417777390916518,0.401030350859177,0.171466661552267,0.180330462806674,0.171466661552267,0.30276399627406,0.933644627846816,-0.0549871413411629,-4.10476509923428,0.00935499753815854,0.132867132867133,0.0174793008279669,0.245854012831376
MODERN,catboost_unweighted,5,8261,143,0.01731,0.0180763588686887,0.0381652849207459,0.0385704455453942,0.528689590773848,0.524267011045415,0.518313040907164,0.0190644193510627,0.0188782304794146,0.0190644193510627,0.0111469499795239,0.876486102332179,0.0597026500707212,-3.73336377926133,0,0,,0.00242101440503571
MODERN,catboost_balanced,5,8261,143,0.01731,0.0206965253957426,0.0346046428506482,0.0348355271274002,0.585123794658163,0.584678489916697,0.576898908844101,0.0279012298939283,0.0274454846101522,0.0279012298939284,0.0296069907991508,0.946259159247633,0.1184952705543,-3.5132983881359,0.00980392156862745,0.00699300699300699,0.00816326530612245,0.0123471734656821
