regime,candidate_model,metric,point_estimate,bootstrap_method,iterations,ci_lower_95,ci_upper_95
LEGACY,prevalence,average_precision,0.0180705887433215,PROJECT_CLUSTER_BOOTSTRAP,1000,0.0148463365564081,0.0220392349135184
LEGACY,prevalence,average_precision,,MONTH_BLOCK_BOOTSTRAP,1000,0.015263669525705,0.0201386719087668
LEGACY,prevalence,roc_auc,0.501579442238088,PROJECT_CLUSTER_BOOTSTRAP,1000,0.460480845585467,0.547846078102518
LEGACY,prevalence,roc_auc,,MONTH_BLOCK_BOOTSTRAP,1000,0.467929286936399,0.532005788714553
LEGACY,prevalence,brier_score,0.0174783986205343,PROJECT_CLUSTER_BOOTSTRAP,1000,0.014722977448601,0.020422829562456
LEGACY,prevalence,brier_score,,MONTH_BLOCK_BOOTSTRAP,1000,0.0156722268723329,0.0192247613478589
LEGACY,lagged_cost_rule,average_precision,0.0186240656483588,PROJECT_CLUSTER_BOOTSTRAP,1000,0.015089825518027,0.0224572021051952
LEGACY,lagged_cost_rule,average_precision,,MONTH_BLOCK_BOOTSTRAP,1000,0.0163227687639085,0.0223971454812109
LEGACY,lagged_cost_rule,roc_auc,0.509080896137983,PROJECT_CLUSTER_BOOTSTRAP,1000,0.50152852161004,0.516902335831502
LEGACY,lagged_cost_rule,roc_auc,,MONTH_BLOCK_BOOTSTRAP,1000,0.500540408224604,0.517887281119164
LEGACY,lagged_cost_rule,brier_score,0.0256774533017627,PROJECT_CLUSTER_BOOTSTRAP,1000,0.0218768645912842,0.0296224194334649
LEGACY,lagged_cost_rule,brier_score,,MONTH_BLOCK_BOOTSTRAP,1000,0.0209286203942354,0.0310674663397844
LEGACY,logistic_unweighted,average_precision,0.0207416873934996,PROJECT_CLUSTER_BOOTSTRAP,1000,0.0164503977958187,0.0283340429173107
LEGACY,logistic_unweighted,average_precision,,MONTH_BLOCK_BOOTSTRAP,1000,0.0190066497391615,0.0248143709263026
LEGACY,logistic_unweighted,roc_auc,0.54943769783879,PROJECT_CLUSTER_BOOTSTRAP,1000,0.508145336224825,0.591736927913503
LEGACY,logistic_unweighted,roc_auc,,MONTH_BLOCK_BOOTSTRAP,1000,0.522510253914274,0.573050403312438
LEGACY,logistic_unweighted,brier_score,0.0363283511848305,PROJECT_CLUSTER_BOOTSTRAP,1000,0.0333588192740169,0.0394460795276294
LEGACY,logistic_unweighted,brier_score,,MONTH_BLOCK_BOOTSTRAP,1000,0.0172275380440656,0.0636596663791934
LEGACY,logistic_balanced,average_precision,0.0228561934164771,PROJECT_CLUSTER_BOOTSTRAP,1000,0.0175746933077695,0.0368573684594084
LEGACY,logistic_balanced,average_precision,,MONTH_BLOCK_BOOTSTRAP,1000,0.0204196343923129,0.0278991266761559
LEGACY,logistic_balanced,roc_auc,0.558447891717617,PROJECT_CLUSTER_BOOTSTRAP,1000,0.513473272476598,0.602233354604756
LEGACY,logistic_balanced,roc_auc,,MONTH_BLOCK_BOOTSTRAP,1000,0.527126126679794,0.591725957639484
LEGACY,logistic_balanced,brier_score,0.192614429668564,PROJECT_CLUSTER_BOOTSTRAP,1000,0.187285344157264,0.197582951752088
LEGACY,logistic_balanced,brier_score,,MONTH_BLOCK_BOOTSTRAP,1000,0.0910138066151603,0.32154354270786
LEGACY,catboost_unweighted,average_precision,0.0279188042007945,PROJECT_CLUSTER_BOOTSTRAP,1000,0.0199078566110573,0.0408242373893254
LEGACY,catboost_unweighted,average_precision,,MONTH_BLOCK_BOOTSTRAP,1000,0.0226469519040143,0.0386938382466094
LEGACY,catboost_unweighted,roc_auc,0.602086968083071,PROJECT_CLUSTER_BOOTSTRAP,1000,0.550779189292385,0.644227559444826
LEGACY,catboost_unweighted,roc_auc,,MONTH_BLOCK_BOOTSTRAP,1000,0.545653076471985,0.657420288618887
