regime,candidate_model,threshold,precision,recall,f1,specificity,predicted_positives,predicted_positive_rate,total_rows
LEGACY,prevalence,0.01,0.0176795580110497,1,0.0347448425624321,0,19005,1,19005
LEGACY,prevalence,0.02,0.0176795580110497,1,0.0347448425624321,0,19005,1,19005
LEGACY,prevalence,0.03,0.0208794685226194,0.196428571428571,0.0377466399771232,0.8342171514275,3161,0.166324651407524,19005
LEGACY,prevalence,0.04,,0,0,1,0,0,19005
LEGACY,prevalence,0.05,,0,0,1,0,0,19005
LEGACY,prevalence,0.06,,0,0,1,0,0,19005
LEGACY,prevalence,0.07,,0,0,1,0,0,19005
LEGACY,prevalence,0.08,,0,0,1,0,0,19005
LEGACY,prevalence,0.09,,0,0,1,0,0,19005
LEGACY,prevalence,0.1,,0,0,1,0,0,19005
LEGACY,prevalence,0.11,,0,0,1,0,0,19005
LEGACY,prevalence,0.12,,0,0,1,0,0,19005
LEGACY,prevalence,0.13,,0,0,1,0,0,19005
LEGACY,prevalence,0.14,,0,0,1,0,0,19005
LEGACY,prevalence,0.15,,0,0,1,0,0,19005
LEGACY,prevalence,0.16,,0,0,1,0,0,19005
LEGACY,prevalence,0.17,,0,0,1,0,0,19005
LEGACY,prevalence,0.18,,0,0,1,0,0,19005
LEGACY,prevalence,0.19,,0,0,1,0,0,19005
LEGACY,prevalence,0.2,,0,0,1,0,0,19005
LEGACY,prevalence,0.21,,0,0,1,0,0,19005
LEGACY,prevalence,0.22,,0,0,1,0,0,19005
LEGACY,prevalence,0.23,,0,0,1,0,0,19005
LEGACY,prevalence,0.24,,0,0,1,0,0,19005
LEGACY,prevalence,0.25,,0,0,1,0,0,19005
LEGACY,prevalence,0.26,,0,0,1,0,0,19005
LEGACY,prevalence,0.27,,0,0,1,0,0,19005
LEGACY,prevalence,0.28,,0,0,1,0,0,19005
LEGACY,prevalence,0.29,,0,0,1,0,0,19005
LEGACY,prevalence,0.3,,0,0,1,0,0,19005
LEGACY,prevalence,0.31,,0,0,1,0,0,19005
LEGACY,prevalence,0.32,,0,0,1,0,0,19005
LEGACY,prevalence,0.33,,0,0,1,0,0,19005
LEGACY,prevalence,0.34,,0,0,1,0,0,19005
LEGACY,prevalence,0.35,,0,0,1,0,0,19005
LEGACY,prevalence,0.36,,0,0,1,0,0,19005
LEGACY,prevalence,0.37,,0,0,1,0,0,19005
LEGACY,prevalence,0.38,,0,0,1,0,0,19005
LEGACY,prevalence,0.39,,0,0,1,0,0,19005
LEGACY,prevalence,0.4,,0,0,1,0,0,19005
LEGACY,prevalence,0.41,,0,0,1,0,0,19005
LEGACY,prevalence,0.42,,0,0,1,0,0,19005
LEGACY,prevalence,0.43,,0,0,1,0,0,19005
LEGACY,prevalence,0.44,,0,0,1,0,0,19005
LEGACY,prevalence,0.45,,0,0,1,0,0,19005
LEGACY,prevalence,0.46,,0,0,1,0,0,19005
LEGACY,prevalence,0.47,,0,0,1,0,0,19005
LEGACY,prevalence,0.48,,0,0,1,0,0,19005
