report_month,continuous_segment,identifier_regime,total_observations,eligible_observations,positive_events,negative_events,positive_rate,censored_observations,ambiguous_observations
2023-01,SEGMENT_1,LEGACY,1454,1358,36,1322,0.0265,89,7
2023-02,SEGMENT_1,LEGACY,1418,1356,36,1320,0.0265,48,14
2023-03,SEGMENT_1,LEGACY,1449,1346,60,1286,0.0446,87,16
2023-04,SEGMENT_1,LEGACY,1605,1514,61,1453,0.0403,75,16
2023-05,SEGMENT_1,LEGACY,1681,1584,59,1525,0.0372,80,17
2023-06,SEGMENT_1,LEGACY,1643,1545,28,1517,0.0181,78,20
2023-07,SEGMENT_1,LEGACY,1646,1523,31,1492,0.0204,104,19
2023-08,SEGMENT_1,LEGACY,1762,1638,35,1603,0.0214,104,20
2023-09,SEGMENT_1,LEGACY,1763,0,0,0,0.0,1763,0
2023-10,SEGMENT_1,LEGACY,1788,0,0,0,0.0,1788,0
2023-11,SEGMENT_1,LEGACY,1831,0,0,0,0.0,1831,0
2024-01,SEGMENT_2,LEGACY,1821,0,0,0,0.0,1821,0
2024-02,SEGMENT_2,LEGACY,1902,0,0,0,0.0,1902,0
2024-03,SEGMENT_2,LEGACY,1873,0,0,0,0.0,1873,0
2024-06,SEGMENT_3,LEGACY,1810,1696,23,1673,0.0136,62,52
2024-07,SEGMENT_3,LEGACY,1793,1627,22,1605,0.0135,113,53
2024-08,SEGMENT_3,LEGACY,1783,1621,22,1599,0.0136,105,57
2024-09,SEGMENT_3,LEGACY,1792,1608,30,1578,0.0187,125,59
2024-10,SEGMENT_3,LEGACY,1747,1609,32,1577,0.0199,75,63
2024-11,SEGMENT_3,LEGACY,1742,1571,32,1539,0.0204,101,70
2024-12,SEGMENT_3,LEGACY,1724,1570,29,1541,0.0185,85,69
2025-01,SEGMENT_3,LEGACY,1719,1553,25,1528,0.0161,97,69
2025-02,SEGMENT_3,LEGACY,1682,1512,34,1478,0.0225,99,71
2025-03,SEGMENT_3,LEGACY,1677,1477,21,1456,0.0142,129,71
2025-04,SEGMENT_3,LEGACY,1670,0,0,0,0.0,1670,0
2025-05,SEGMENT_3,LEGACY,1637,0,0,0,0.0,1637,0
2025-06,SEGMENT_3,LEGACY,1595,0,0,0,0.0,1595,0
2025-07,SEGMENT_4,MODERN,791,717,25,692,0.0349,74,0
2025-08,SEGMENT_4,MODERN,800,736,25,711,0.034,64,0
2025-09,SEGMENT_4,MODERN,794,734,21,713,0.0286,60,0
2025-10,SEGMENT_4,MODERN,820,762,25,737,0.0328,58,0
2025-11,SEGMENT_4,MODERN,823,775,10,765,0.0129,48,0
2025-12,SEGMENT_4,MODERN,1392,1341,9,1332,0.0067,51,0
2026-01,SEGMENT_4,MODERN,1702,1634,13,1621,0.008,68,0
2026-02,SEGMENT_4,MODERN,1948,1872,16,1856,0.0085,76,0
2026-03,SEGMENT_4,MODERN,1941,1735,15,1720,0.0086,206,0
2026-04,SEGMENT_4,MODERN,1981,1679,90,1589,0.0536,302,0
2026-05,SEGMENT_4,MODERN,1987,0,0,0,0.0,1987,0
2026-06,SEGMENT_4,MODERN,1847,0,0,0,0.0,1847,0
2026-07,SEGMENT_4,MODERN,1775,0,0,0,0.0,1775,0
