regime,metric_name,sign_convention,model_a_static_only,model_b_static_plus_longitudinal,delta_b_minus_a,relative_delta_pct,is_improvement,interpretation
LEGACY,average_precision,HIGHER_IS_BETTER,0.413104103156893,0.407094238003995,-0.00600986515289798,-1.4548064536206,False,DEGRADATION / NEUTRAL
LEGACY,roc_auc,HIGHER_IS_BETTER,0.810695154328936,0.806439366634848,-0.00425578769408774,-0.524955363475748,False,DEGRADATION / NEUTRAL
LEGACY,brier_score,LOWER_IS_BETTER,0.0702988885739255,0.0719881716264486,0.00168928305252303,2.40300108122847,False,DEGRADATION / NEUTRAL
LEGACY,ece_10bin,LOWER_IS_BETTER,0.0215909304300247,0.0287395898474958,0.00714865941747111,33.1095477364425,False,DEGRADATION / NEUTRAL
LEGACY,mce_10bin,LOWER_IS_BETTER,0.139517095078484,0.190582115217803,0.0510650201393195,36.6012638885532,False,DEGRADATION / NEUTRAL
LEGACY,recall,HIGHER_IS_BETTER,0.220423412204234,0.254047322540473,0.0336239103362391,15.2542372881356,True,IMPROVEMENT (Longitudinal adds value)
LEGACY,precision,HIGHER_IS_BETTER,0.589018302828619,0.542553191489362,-0.0464651113392573,-7.88856833754058,False,DEGRADATION / NEUTRAL
LEGACY,f1,HIGHER_IS_BETTER,0.32079746261894,0.346055979643766,0.0252585170248262,7.873664840931,True,IMPROVEMENT (Longitudinal adds value)
LEGACY,specificity,HIGHER_IS_BETTER,0.983953745208861,0.977652179562139,-0.00630156564672246,-0.640433117654819,False,DEGRADATION / NEUTRAL
MODERN,average_precision,HIGHER_IS_BETTER,0.758716582126302,0.709136398942985,-0.0495801831833177,-6.53474358559151,False,DEGRADATION / NEUTRAL
MODERN,roc_auc,HIGHER_IS_BETTER,0.841929829846717,0.807183734213824,-0.0347460956328931,-4.12695861354847,False,DEGRADATION / NEUTRAL
MODERN,brier_score,LOWER_IS_BETTER,0.191616613720421,0.211067499108021,0.0194508853876004,10.1509389034399,False,DEGRADATION / NEUTRAL
MODERN,ece_10bin,LOWER_IS_BETTER,0.140519246997574,0.166373351236311,0.025854104238737,18.3989772156859,False,DEGRADATION / NEUTRAL
MODERN,mce_10bin,LOWER_IS_BETTER,0.315710572989643,0.310566563889116,-0.00514400910052759,-1.6293433101768,True,IMPROVEMENT (Lower error/miscalibration)
MODERN,recall,HIGHER_IS_BETTER,0.36195652173913,0.360869565217391,-0.00108695652173912,-0.300300300300299,False,DEGRADATION / NEUTRAL
MODERN,precision,HIGHER_IS_BETTER,0.808252427184466,0.744394618834081,-0.0638578083503852,-7.90072583794556,False,DEGRADATION / NEUTRAL
MODERN,f1,HIGHER_IS_BETTER,0.5,0.486090775988287,-0.013909224011713,-2.7818448023426,False,DEGRADATION / NEUTRAL
MODERN,specificity,HIGHER_IS_BETTER,0.929933481152993,0.898891352549889,-0.0310421286031042,-3.3381020505484,False,DEGRADATION / NEUTRAL
