regime,evaluation_month,config_id,display_name,feature_subset_type,feature_count,model_family,training_rows,evaluation_rows,positives,negatives,prevalence,average_precision,roc_auc,brier_score,ece_10bin,mce_10bin,precision,recall,f1,specificity,alert_rate,mean_predicted_probability
LEGACY,2023-07,catboost_static_only,MODEL A (Static / CUF-Only),STATIC_ONLY,25,CatBoostClassifier,3906,1480,144,1336,0.0972972972972973,0.334840557775249,0.787674650698603,0.0845566672869893,0.0567731012005125,0.463627265405333,0.448979591836735,0.305555555555556,0.363636363636364,0.959580838323353,0.0662162162162162,0.119591463709437
LEGACY,2023-07,catboost_static_plus_longitudinal,MODEL B (Static + Longitudinal),STATIC_PLUS_LONGITUDINAL,36,CatBoostClassifier,3906,1480,144,1336,0.0972972972972973,0.317432979085178,0.77708125415835,0.0907675057137011,0.0618967189000043,0.399912082139621,0.3359375,0.298611111111111,0.316176470588235,0.936377245508982,0.0864864864864865,0.126314014346115
LEGACY,2023-07,catboost_longitudinal_only,MODEL C (Longitudinal-Only),LONGITUDINAL_ONLY,11,CatBoostClassifier,3906,1480,144,1336,0.0972972972972973,0.241620454009408,0.685423423985363,0.090539369709323,0.0516901098011796,0.93006635805763,0.357894736842105,0.236111111111111,0.284518828451883,0.95434131736527,0.0641891891891892,0.148987407098477
LEGACY,2023-08,catboost_static_only,MODEL A (Static / CUF-Only),STATIC_ONLY,25,CatBoostClassifier,5372,1590,130,1460,0.0817610062893082,0.32479362991649,0.807976817702845,0.070876859413045,0.0417716242149388,0.330745737288226,0.382716049382716,0.238461538461538,0.293838862559242,0.965753424657534,0.0509433962264151,0.101302998729206
LEGACY,2023-08,catboost_static_plus_longitudinal,MODEL B (Static + Longitudinal),STATIC_PLUS_LONGITUDINAL,36,CatBoostClassifier,5372,1590,130,1460,0.0817610062893082,0.318558020842367,0.808893572181243,0.0740204712897171,0.0454033173542198,0.552540782519452,0.346153846153846,0.276923076923077,0.307692307692308,0.953424657534247,0.0654088050314465,0.103607737946514
LEGACY,2023-08,catboost_longitudinal_only,MODEL C (Longitudinal-Only),LONGITUDINAL_ONLY,11,CatBoostClassifier,5372,1590,130,1460,0.0817610062893082,0.18464585929229,0.663005795574289,0.0801005436438853,0.0566028396482614,0.820187534119955,0.303571428571429,0.130769230769231,0.182795698924731,0.973287671232877,0.0352201257861635,0.13836384593757
LEGACY,2024-06,catboost_static_only,MODEL A (Static / CUF-Only),STATIC_ONLY,25,CatBoostClassifier,11477,1706,141,1565,0.0826494724501759,0.390849940470531,0.795164616046949,0.0650158775477961,0.0362788051796579,0.218240648020091,0.566037735849057,0.212765957446809,0.309278350515464,0.985303514376997,0.0310668229777257,0.106322340008227
LEGACY,2024-06,catboost_static_plus_longitudinal,MODEL B (Static + Longitudinal),STATIC_PLUS_LONGITUDINAL,36,CatBoostClassifier,11477,1706,141,1565,0.0826494724501759,0.36969146187591,0.784011963836585,0.0670290050784581,0.0367239849546016,0.245738778387363,0.6,0.212765957446809,0.31413612565445,0.987220447284345,0.0293083235638921,0.105225881416096
LEGACY,2024-06,catboost_longitudinal_only,MODEL C (Longitudinal-Only),LONGITUDINAL_ONLY,11,CatBoostClassifier,11477,1706,141,1565,0.0826494724501759,0.170283129921015,0.725028889946299,0.0718463242213466,0.0323076601728397,0.0679447348419857,,0,0,1,0,0.114957132623016
LEGACY,2024-07,catboost_static_only,MODEL A (Static / CUF-Only),STATIC_ONLY,25,CatBoostClassifier,11477,1633,160,1473,0.0979791794243723,0.343482745720621,0.776094704684318,0.0786526885679034,0.0259755223026501,0.491829838234266,0.489795918367347,0.15,0.229665071770335,0.983027834351663,0.030006123698714,0.105511830813713
LEGACY,2024-07,catboost_static_plus_longitudinal,MODEL B (Static + Longitudinal),STATIC_PLUS_LONGITUDINAL,36,CatBoostClassifier,11477,1633,160,1473,0.0979791794243723,0.352116213987599,0.777893754243042,0.0784698193363375,0.0321339785019222,0.243851134186396,0.541666666666667,0.1625,0.25,0.985064494229464,0.0293937538273117,0.10851494776349
LEGACY,2024-07,catboost_longitudinal_only,MODEL C (Longitudinal-Only),LONGITUDINAL_ONLY,11,CatBoostClassifier,11477,1633,160,1473,0.0979791794243723,0.278515799711452,0.739470892735913,0.0808747099081455,0.0359890168404958,0.785810550978082,0.222222222222222,0.0125,0.0236686390532544,0.995247793618466,0.00551132884262094,0.125734003156021
LEGACY,2024-08,catboost_static_only,MODEL A (Static / CUF-Only),STATIC_ONLY,25,CatBoostClassifier,11477,1623,166,1457,0.102279728897104,0.323824199845286,0.744168162009741,0.0833981766510947,0.0287955406245608,0.372009096707729,0.476190476190476,0.120481927710843,0.192307692307692,0.984900480439259,0.0258780036968577,0.102304634277966
LEGACY,2024-08,catboost_static_plus_longitudinal,MODEL B (Static + Longitudinal),STATIC_PLUS_LONGITUDINAL,36,CatBoostClassifier,11477,1623,166,1457,0.102279728897104,0.337960528738107,0.751585614937444,0.0824759027297279,0.0290143074558815,0.442750024810889,0.448979591836735,0.132530120481928,0.204651162790698,0.981468771448181,0.0301910043130006,0.107190124514215
LEGACY,2024-08,catboost_longitudinal_only,MODEL C (Longitudinal-Only),LONGITUDINAL_ONLY,11,CatBoostClassifier,11477,1623,166,1457,0.102279728897104,0.314296959430948,0.739723478677924,0.08140511524551,0.0280564705205661,0.514001213533183,0.605263157894737,0.13855421686747,0.225490196078431,0.989704873026767,0.0234134319162046,0.127512213516739
LEGACY,2024-09,catboost_static_only,MODEL A (Static / CUF-Only),STATIC_ONLY,25,CatBoostClassifier,11477,1613,169,1444,0.104773713577185,0.335935650413341,0.757220246193185,0.0852904354370723,0.0351127771201976,0.535896721064524,0.446428571428571,0.14792899408284,0.222222222222222,0.978531855955679,0.0347179169249845,0.112094751798332
