regime,candidate_model,bin_index,lower_bound,upper_bound,rows,mean_predicted_probability,observed_positive_rate,calibration_gap
LEGACY,prevalence,1,0,0.1,0,,,
LEGACY,prevalence,2,0.1,0.2,0,,,
LEGACY,prevalence,3,0.2,0.3,0,,,
LEGACY,prevalence,4,0.3,0.4,8229,0.337669,0.273666,0.064003
LEGACY,prevalence,5,0.4,0.5,0,,,
LEGACY,prevalence,6,0.5,0.6,0,,,
LEGACY,prevalence,7,0.6,0.7,0,,,
LEGACY,prevalence,8,0.7,0.8,0,,,
LEGACY,prevalence,9,0.8,0.9,0,,,
LEGACY,prevalence,10,0.9,1,0,,,
LEGACY,logistic_unweighted,1,0,0.1,987,0.073446,0.055724,0.017721
LEGACY,logistic_unweighted,2,0.1,0.2,1439,0.146298,0.09173,0.054568
LEGACY,logistic_unweighted,3,0.2,0.3,1150,0.253005,0.130435,0.12257
LEGACY,logistic_unweighted,4,0.3,0.4,1518,0.346265,0.21278,0.133485
LEGACY,logistic_unweighted,5,0.4,0.5,1063,0.447421,0.340546,0.106875
LEGACY,logistic_unweighted,6,0.5,0.6,684,0.545921,0.5,0.045921
LEGACY,logistic_unweighted,7,0.6,0.7,520,0.651371,0.586538,0.064833
LEGACY,logistic_unweighted,8,0.7,0.8,378,0.748172,0.664021,0.084151
LEGACY,logistic_unweighted,9,0.8,0.9,332,0.843986,0.695783,0.148203
LEGACY,logistic_unweighted,10,0.9,1,158,0.949181,0.639241,0.30994
LEGACY,logistic_balanced,1,0,0.1,159,0.066151,0.075472,0.00932
LEGACY,logistic_balanced,2,0.1,0.2,1161,0.151991,0.060293,0.091699
LEGACY,logistic_balanced,3,0.2,0.3,1129,0.252704,0.090345,0.162358
LEGACY,logistic_balanced,4,0.3,0.4,1368,0.353958,0.143275,0.210683
LEGACY,logistic_balanced,5,0.4,0.5,1386,0.4465,0.208514,0.237987
LEGACY,logistic_balanced,6,0.5,0.6,956,0.547514,0.373431,0.174083
LEGACY,logistic_balanced,7,0.6,0.7,651,0.646909,0.486943,0.159965
LEGACY,logistic_balanced,8,0.7,0.8,466,0.752945,0.577253,0.175692
LEGACY,logistic_balanced,9,0.8,0.9,528,0.849415,0.685606,0.163809
LEGACY,logistic_balanced,10,0.9,1,425,0.941118,0.654118,0.287001
LEGACY,catboost_unweighted,1,0,0.1,3223,0.045611,0.040645,0.004966
LEGACY,catboost_unweighted,2,0.1,0.2,1409,0.142789,0.12775,0.015039
LEGACY,catboost_unweighted,3,0.2,0.3,679,0.246119,0.238586,0.007533
LEGACY,catboost_unweighted,4,0.3,0.4,491,0.3457,0.366599,0.020899
LEGACY,catboost_unweighted,5,0.4,0.5,358,0.450689,0.488827,0.038138
LEGACY,catboost_unweighted,6,0.5,0.6,310,0.552015,0.529032,0.022983
LEGACY,catboost_unweighted,7,0.6,0.7,328,0.649631,0.615854,0.033778
