regime,candidate_model,total_folds,total_evaluation_rows,total_positives,observed_prevalence,micro_average_precision,macro_average_precision,row_weighted_average_precision,micro_roc_auc,macro_roc_auc,row_weighted_roc_auc,micro_brier_score,macro_brier_score,row_weighted_brier_score,ece_10bin,mce_10bin,calibration_slope,calibration_intercept,micro_precision,micro_recall,micro_f1,micro_specificity,micro_predicted_positive_rate
LEGACY,prevalence,6,8229,2252,0.273666,0.283902837539659,0.273212083674755,0.273666302102321,0.518124873887498,0.5,0.5,0.202759468445115,0.202591582262043,0.202759468445115,0.0640028091088073,0.0640028091088073,2.44113884417844,0.66780812183408,,0,0,1,0
LEGACY,logistic_unweighted,6,8229,2252,0.273666,0.56287316342239,0.556954988906267,0.555355370961525,0.786988518153217,0.775402068602751,0.773812307937139,0.166372145225217,0.165504234900845,0.166372145225217,0.0909362666617928,0.309940359975087,0.912021488504726,-0.567502892445359,0.593629343629344,0.546181172291297,0.568917668825162,0.859126652166639,0.251792441365901
LEGACY,logistic_balanced,6,8229,2252,0.273666,0.562401879802029,0.55482566357353,0.553235433665222,0.788401572517029,0.775979689529366,0.774410000755783,0.18992603321651,0.189028484176365,0.18992603321651,0.17866201559516,0.287000571541654,0.87038586867996,-1.00009196078691,0.523132848645076,0.702930728241563,0.599848427434634,0.758574535720261,0.367723903268927
LEGACY,catboost_unweighted,6,8229,2252,0.273666,0.687175588305627,0.689828362711177,0.690023297303066,0.866352174157242,0.866453109530847,0.866331458695806,0.129144518810458,0.129021088175351,0.129144518810458,0.034097433423861,0.173760923382612,0.769659336023705,-0.373799925698913,0.688255195746738,0.632326820603908,0.659106688266605,0.892086330935252,0.251427877020294
LEGACY,catboost_balanced,6,8229,2252,0.273666,0.688052768284784,0.689793474577934,0.689953664069997,0.867804009508325,0.868390691953317,0.86827196461079,0.137587567536092,0.137525210846206,0.137587567536092,0.0965199868794994,0.188076180696319,0.787778774680964,-0.801041165262837,0.639109097772744,0.751776198934281,0.690879412364823,0.840053538564497,0.321910317170981
MODERN,prevalence,5,8022,1570,0.195712,0.16148048915348,0.193438598274299,0.195711792570431,0.368572229615268,0.5,0.5,0.196859103713911,0.196702226941727,0.196859103713911,0.185692578470551,0.275555316708253,-2.60485455163411,-2.7179439919412,,0,0,1,0
MODERN,logistic_unweighted,5,8022,1570,0.195712,0.222884735407052,0.283897392013618,0.290827110277844,0.516374520713471,0.603158401862906,0.610427857907043,0.194695294771616,0.19637966111025,0.194695294771616,0.150632341303561,0.817830828261376,0.0569120008608304,-1.33910816967887,0.244986922406277,0.178980891719745,0.206845785793154,0.865778053316801,0.142981800049863
MODERN,logistic_balanced,5,8022,1570,0.195712,0.231756013069532,0.286714310852015,0.293754220099657,0.535213097405238,0.603049016233047,0.61038628100442,0.212478601835874,0.21500004918994,0.212478601835874,0.181287007018934,0.585590748890872,0.112712476641902,-1.3165273649582,0.227392913802221,0.273885350318471,0.248483097370702,0.773558586484811,0.235726751433558
MODERN,catboost_unweighted,5,8022,1570,0.195712,0.30070949103272,0.390284424610721,0.393813252509555,0.645405562290466,0.741317131397082,0.742737416978389,0.211446328575138,0.21474791971774,0.211446328575138,0.178788047237174,0.522095644008252,0.299593177449219,-1.17574290371734,0.297345928924876,0.421019108280255,0.348536778275771,0.757904525728456,0.277112939416604
MODERN,catboost_balanced,5,8022,1570,0.195712,0.309864368918402,0.38474532106844,0.388896724876894,0.652565342894713,0.739068578622576,0.74031506379829,0.225818904756365,0.229430124794066,0.225818904756365,0.205526788337972,0.543908525905748,0.33195645460137,-1.26381358587515,0.284901365705615,0.478343949044586,0.357108892058963,0.707842529448233,0.328596360009973
