regime,candidate_model,feature_name,importance_type,importance_value,rank
LEGACY,logistic_unweighted,sector,MEAN_STANDARDIZED_COEFFICIENT,0.504618,1
LEGACY,logistic_unweighted,agency,MEAN_STANDARDIZED_COEFFICIENT,-2.983369,2
LEGACY,logistic_unweighted,state,MEAN_STANDARDIZED_COEFFICIENT,4.225604,3
LEGACY,logistic_unweighted,original_cost,MEAN_STANDARDIZED_COEFFICIENT,-0.126699,4
LEGACY,logistic_unweighted,cumulative_expenditure_t,MEAN_STANDARDIZED_COEFFICIENT,0,5
LEGACY,logistic_unweighted,revised_cost_t,MEAN_STANDARDIZED_COEFFICIENT,-0.132558,6
LEGACY,logistic_unweighted,physical_progress_t,MEAN_STANDARDIZED_COEFFICIENT,0,7
LEGACY,logistic_unweighted,project_age_months,MEAN_STANDARDIZED_COEFFICIENT,-0.043202,8
LEGACY,logistic_unweighted,months_to_original_schedule,MEAN_STANDARDIZED_COEFFICIENT,-0.050172,9
LEGACY,logistic_unweighted,months_to_effective_schedule,MEAN_STANDARDIZED_COEFFICIENT,-0.07532,10
LEGACY,logistic_unweighted,schedule_revision_lag_months,MEAN_STANDARDIZED_COEFFICIENT,0,11
LEGACY,logistic_unweighted,schedule_has_been_revised,MEAN_STANDARDIZED_COEFFICIENT,0.610527,12
LEGACY,logistic_unweighted,months_since_start,MEAN_STANDARDIZED_COEFFICIENT,0,13
LEGACY,logistic_unweighted,expenditure_to_original_cost_ratio,MEAN_STANDARDIZED_COEFFICIENT,0.677422,14
LEGACY,logistic_unweighted,revised_to_original_cost_ratio,MEAN_STANDARDIZED_COEFFICIENT,0.020359,15
LEGACY,logistic_unweighted,cost_has_been_revised,MEAN_STANDARDIZED_COEFFICIENT,-0.603039,16
LEGACY,logistic_unweighted,exp_delta_1m,MEAN_STANDARDIZED_COEFFICIENT,0.267564,17
LEGACY,logistic_unweighted,exp_delta_3m,MEAN_STANDARDIZED_COEFFICIENT,0.477393,18
LEGACY,logistic_unweighted,past_exp_stagnant_3m,MEAN_STANDARDIZED_COEFFICIENT,-0.303494,19
LEGACY,logistic_unweighted,past_progress_delta_3m,MEAN_STANDARDIZED_COEFFICIENT,-0.004762,20
LEGACY,logistic_unweighted,past_progress_stagnant_3m,MEAN_STANDARDIZED_COEFFICIENT,0,21
LEGACY,logistic_unweighted,n_prior_schedule_extensions,MEAN_STANDARDIZED_COEFFICIENT,0,22
LEGACY,logistic_unweighted,n_prior_cost_revisions,MEAN_STANDARDIZED_COEFFICIENT,-0.090208,23
LEGACY,logistic_unweighted,observed_tenure_months,MEAN_STANDARDIZED_COEFFICIENT,-0.063955,24
LEGACY,logistic_unweighted,state_is_missing,MEAN_STANDARDIZED_COEFFICIENT,0,25
LEGACY,logistic_unweighted,approval_date_is_missing,MEAN_STANDARDIZED_COEFFICIENT,-0.024331,26
LEGACY,logistic_unweighted,original_completion_date_is_missing,MEAN_STANDARDIZED_COEFFICIENT,-0.050172,27
LEGACY,logistic_unweighted,revised_cost_is_present,MEAN_STANDARDIZED_COEFFICIENT,-0.041231,28
LEGACY,logistic_unweighted,revised_date_is_present,MEAN_STANDARDIZED_COEFFICIENT,0,29
LEGACY,logistic_unweighted,physical_progress_is_present,MEAN_STANDARDIZED_COEFFICIENT,-0.037957,30
LEGACY,logistic_unweighted,physical_progress_supported,MEAN_STANDARDIZED_COEFFICIENT,-0.021372,31
LEGACY,logistic_unweighted,start_date_is_present,MEAN_STANDARDIZED_COEFFICIENT,-0.060576,32
LEGACY,logistic_unweighted,start_date_supported,MEAN_STANDARDIZED_COEFFICIENT,0.01431,33
LEGACY,logistic_unweighted,exp_delta_1m_is_supported,MEAN_STANDARDIZED_COEFFICIENT,0.23426,34
LEGACY,logistic_unweighted,exp_delta_3m_is_supported,MEAN_STANDARDIZED_COEFFICIENT,0.01431,35
LEGACY,logistic_unweighted,progress_delta_3m_is_supported,MEAN_STANDARDIZED_COEFFICIENT,0.200816,36
LEGACY,logistic_balanced,sector,MEAN_STANDARDIZED_COEFFICIENT,0.595833,1
LEGACY,logistic_balanced,agency,MEAN_STANDARDIZED_COEFFICIENT,-3.149063,2
LEGACY,logistic_balanced,state,MEAN_STANDARDIZED_COEFFICIENT,4.513736,3
LEGACY,logistic_balanced,original_cost,MEAN_STANDARDIZED_COEFFICIENT,-0.125773,4
LEGACY,logistic_balanced,cumulative_expenditure_t,MEAN_STANDARDIZED_COEFFICIENT,0,5
LEGACY,logistic_balanced,revised_cost_t,MEAN_STANDARDIZED_COEFFICIENT,-0.123449,6
LEGACY,logistic_balanced,physical_progress_t,MEAN_STANDARDIZED_COEFFICIENT,0,7
LEGACY,logistic_balanced,project_age_months,MEAN_STANDARDIZED_COEFFICIENT,-0.076339,8
LEGACY,logistic_balanced,months_to_original_schedule,MEAN_STANDARDIZED_COEFFICIENT,0.014724,9
LEGACY,logistic_balanced,months_to_effective_schedule,MEAN_STANDARDIZED_COEFFICIENT,-0.102734,10
LEGACY,logistic_balanced,schedule_revision_lag_months,MEAN_STANDARDIZED_COEFFICIENT,0,11
LEGACY,logistic_balanced,schedule_has_been_revised,MEAN_STANDARDIZED_COEFFICIENT,0.699067,12
LEGACY,logistic_balanced,months_since_start,MEAN_STANDARDIZED_COEFFICIENT,0,13
LEGACY,logistic_balanced,expenditure_to_original_cost_ratio,MEAN_STANDARDIZED_COEFFICIENT,0.636573,14
LEGACY,logistic_balanced,revised_to_original_cost_ratio,MEAN_STANDARDIZED_COEFFICIENT,0.0206,15
LEGACY,logistic_balanced,cost_has_been_revised,MEAN_STANDARDIZED_COEFFICIENT,-0.56923,16
LEGACY,logistic_balanced,exp_delta_1m,MEAN_STANDARDIZED_COEFFICIENT,0.318063,17
LEGACY,logistic_balanced,exp_delta_3m,MEAN_STANDARDIZED_COEFFICIENT,0.446374,18
LEGACY,logistic_balanced,past_exp_stagnant_3m,MEAN_STANDARDIZED_COEFFICIENT,-0.292979,19
LEGACY,logistic_balanced,past_progress_delta_3m,MEAN_STANDARDIZED_COEFFICIENT,0.001749,20
LEGACY,logistic_balanced,past_progress_stagnant_3m,MEAN_STANDARDIZED_COEFFICIENT,0,21
LEGACY,logistic_balanced,n_prior_schedule_extensions,MEAN_STANDARDIZED_COEFFICIENT,0,22
LEGACY,logistic_balanced,n_prior_cost_revisions,MEAN_STANDARDIZED_COEFFICIENT,0.008177,23
LEGACY,logistic_balanced,observed_tenure_months,MEAN_STANDARDIZED_COEFFICIENT,-0.070857,24
LEGACY,logistic_balanced,state_is_missing,MEAN_STANDARDIZED_COEFFICIENT,0,25
LEGACY,logistic_balanced,approval_date_is_missing,MEAN_STANDARDIZED_COEFFICIENT,-0.047275,26
LEGACY,logistic_balanced,original_completion_date_is_missing,MEAN_STANDARDIZED_COEFFICIENT,0.014724,27
LEGACY,logistic_balanced,revised_cost_is_present,MEAN_STANDARDIZED_COEFFICIENT,-0.019755,28
LEGACY,logistic_balanced,revised_date_is_present,MEAN_STANDARDIZED_COEFFICIENT,0,29
LEGACY,logistic_balanced,physical_progress_is_present,MEAN_STANDARDIZED_COEFFICIENT,-0.038984,30
LEGACY,logistic_balanced,physical_progress_supported,MEAN_STANDARDIZED_COEFFICIENT,0.008083,31
LEGACY,logistic_balanced,start_date_is_present,MEAN_STANDARDIZED_COEFFICIENT,-0.069106,32
LEGACY,logistic_balanced,start_date_supported,MEAN_STANDARDIZED_COEFFICIENT,0.081241,33
LEGACY,logistic_balanced,exp_delta_1m_is_supported,MEAN_STANDARDIZED_COEFFICIENT,0.24807,34
LEGACY,logistic_balanced,exp_delta_3m_is_supported,MEAN_STANDARDIZED_COEFFICIENT,0.081241,35
LEGACY,logistic_balanced,progress_delta_3m_is_supported,MEAN_STANDARDIZED_COEFFICIENT,0.204002,36
LEGACY,catboost_unweighted,agency,PREDICTION_VALUES_CHANGE,18.573269,1
LEGACY,catboost_unweighted,state,PREDICTION_VALUES_CHANGE,13.551835,2
LEGACY,catboost_unweighted,physical_progress_t,PREDICTION_VALUES_CHANGE,9.232879,3
LEGACY,catboost_unweighted,sector,PREDICTION_VALUES_CHANGE,8.634275,4
LEGACY,catboost_unweighted,months_to_original_schedule,PREDICTION_VALUES_CHANGE,5.753036,5
LEGACY,catboost_unweighted,project_age_months,PREDICTION_VALUES_CHANGE,5.551422,6
LEGACY,catboost_unweighted,expenditure_to_original_cost_ratio,PREDICTION_VALUES_CHANGE,5.302969,7
LEGACY,catboost_unweighted,exp_delta_1m,PREDICTION_VALUES_CHANGE,4.888381,8
LEGACY,catboost_unweighted,original_cost,PREDICTION_VALUES_CHANGE,4.587134,9
LEGACY,catboost_unweighted,months_to_effective_schedule,PREDICTION_VALUES_CHANGE,4.518388,10
LEGACY,catboost_unweighted,cumulative_expenditure_t,PREDICTION_VALUES_CHANGE,4.042369,11
LEGACY,catboost_unweighted,observed_tenure_months,PREDICTION_VALUES_CHANGE,2.675566,12
LEGACY,catboost_unweighted,schedule_revision_lag_months,PREDICTION_VALUES_CHANGE,2.196329,13
LEGACY,catboost_unweighted,past_progress_stagnant_3m,PREDICTION_VALUES_CHANGE,1.884716,14
LEGACY,catboost_unweighted,revised_to_original_cost_ratio,PREDICTION_VALUES_CHANGE,1.724273,15
LEGACY,catboost_unweighted,past_progress_delta_3m,PREDICTION_VALUES_CHANGE,1.694327,16
LEGACY,catboost_unweighted,revised_cost_t,PREDICTION_VALUES_CHANGE,1.141511,17
LEGACY,catboost_unweighted,n_prior_schedule_extensions,PREDICTION_VALUES_CHANGE,1.08213,18
LEGACY,catboost_unweighted,exp_delta_3m,PREDICTION_VALUES_CHANGE,0.939725,19
LEGACY,catboost_unweighted,exp_delta_1m_is_supported,PREDICTION_VALUES_CHANGE,0.415947,20
LEGACY,catboost_unweighted,n_prior_cost_revisions,PREDICTION_VALUES_CHANGE,0.386263,21
LEGACY,catboost_unweighted,schedule_has_been_revised,PREDICTION_VALUES_CHANGE,0.322123,22
LEGACY,catboost_unweighted,revised_date_is_present,PREDICTION_VALUES_CHANGE,0.23268,23
LEGACY,catboost_unweighted,past_exp_stagnant_3m,PREDICTION_VALUES_CHANGE,0.220314,24
LEGACY,catboost_unweighted,cost_has_been_revised,PREDICTION_VALUES_CHANGE,0.207615,25
LEGACY,catboost_unweighted,revised_cost_is_present,PREDICTION_VALUES_CHANGE,0.140499,26
LEGACY,catboost_unweighted,progress_delta_3m_is_supported,PREDICTION_VALUES_CHANGE,0.054611,27
LEGACY,catboost_unweighted,original_completion_date_is_missing,PREDICTION_VALUES_CHANGE,0.035019,28
LEGACY,catboost_unweighted,exp_delta_3m_is_supported,PREDICTION_VALUES_CHANGE,0.010392,29
LEGACY,catboost_unweighted,start_date_supported,PREDICTION_VALUES_CHANGE,0,30
LEGACY,catboost_unweighted,physical_progress_is_present,PREDICTION_VALUES_CHANGE,0,31
LEGACY,catboost_unweighted,start_date_is_present,PREDICTION_VALUES_CHANGE,0,32
LEGACY,catboost_unweighted,state_is_missing,PREDICTION_VALUES_CHANGE,0,33
LEGACY,catboost_unweighted,physical_progress_supported,PREDICTION_VALUES_CHANGE,0,34
LEGACY,catboost_unweighted,approval_date_is_missing,PREDICTION_VALUES_CHANGE,0,35
LEGACY,catboost_unweighted,months_since_start,PREDICTION_VALUES_CHANGE,0,36
LEGACY,catboost_balanced,agency,PREDICTION_VALUES_CHANGE,20.677923,1
LEGACY,catboost_balanced,state,PREDICTION_VALUES_CHANGE,13.418505,2
LEGACY,catboost_balanced,physical_progress_t,PREDICTION_VALUES_CHANGE,8.983002,3
LEGACY,catboost_balanced,sector,PREDICTION_VALUES_CHANGE,6.203042,4
LEGACY,catboost_balanced,project_age_months,PREDICTION_VALUES_CHANGE,6.090451,5
LEGACY,catboost_balanced,expenditure_to_original_cost_ratio,PREDICTION_VALUES_CHANGE,5.67373,6
LEGACY,catboost_balanced,months_to_original_schedule,PREDICTION_VALUES_CHANGE,5.584,7
LEGACY,catboost_balanced,exp_delta_1m,PREDICTION_VALUES_CHANGE,4.818294,8
LEGACY,catboost_balanced,original_cost,PREDICTION_VALUES_CHANGE,4.643779,9
LEGACY,catboost_balanced,months_to_effective_schedule,PREDICTION_VALUES_CHANGE,4.144267,10
LEGACY,catboost_balanced,cumulative_expenditure_t,PREDICTION_VALUES_CHANGE,3.993386,11
LEGACY,catboost_balanced,observed_tenure_months,PREDICTION_VALUES_CHANGE,2.855393,12
LEGACY,catboost_balanced,schedule_revision_lag_months,PREDICTION_VALUES_CHANGE,2.056925,13
LEGACY,catboost_balanced,revised_to_original_cost_ratio,PREDICTION_VALUES_CHANGE,2.03692,14
LEGACY,catboost_balanced,past_progress_delta_3m,PREDICTION_VALUES_CHANGE,1.860228,15
LEGACY,catboost_balanced,past_progress_stagnant_3m,PREDICTION_VALUES_CHANGE,1.541901,16
LEGACY,catboost_balanced,revised_cost_t,PREDICTION_VALUES_CHANGE,1.237586,17
LEGACY,catboost_balanced,n_prior_schedule_extensions,PREDICTION_VALUES_CHANGE,1.080083,18
LEGACY,catboost_balanced,exp_delta_3m,PREDICTION_VALUES_CHANGE,1.021098,19
