fold_id,regime,evaluation_origin,candidate_model,training_rows,training_positives,evaluation_rows,evaluation_positives,average_precision,roc_auc,brier_score,precision,recall,f1,specificity,predicted_positives,predicted_positive_rate,observed_prevalence
LEGACY_2024_10,LEGACY,2024-10,prevalence,1555,535,1422,425,0.29887482419128,0.5,0.211589590899374,,0,0,1,0,0,0.29887482419128
LEGACY_2024_10,LEGACY,2024-10,logistic_unweighted,1555,535,1422,425,0.507088455966384,0.710753436780931,0.202055172669594,0.56508875739645,0.449411764705882,0.500655307994758,0.852557673019057,338,0.237693389592124,0.29887482419128
LEGACY_2024_10,LEGACY,2024-10,logistic_balanced,1555,535,1422,425,0.504536605592458,0.713743583692253,0.225432668142791,0.476351351351351,0.663529411764706,0.554572271386431,0.689067201604814,592,0.416315049226442,0.29887482419128
LEGACY_2024_10,LEGACY,2024-10,catboost_unweighted,1555,535,1422,425,0.743111408431618,0.870071390642516,0.128289566526584,0.752186588921283,0.607058823529412,0.671875,0.914744232698094,343,0.241209563994374,0.29887482419128
LEGACY_2024_10,LEGACY,2024-10,catboost_balanced,1555,535,1422,425,0.74558055487665,0.873174818573367,0.134058333599844,0.702078521939954,0.715294117647059,0.708624708624709,0.87061183550652,433,0.30450070323488,0.29887482419128
LEGACY_2024_11,LEGACY,2024-11,prevalence,3049,1034,1406,404,0.287339971550498,0.5,0.20745766898024,,0,0,1,0,0,0.287339971550498
LEGACY_2024_11,LEGACY,2024-11,logistic_unweighted,3049,1034,1406,404,0.49329827037998,0.706018655757791,0.195432348897317,0.509933774834437,0.381188118811881,0.436260623229462,0.852295409181637,302,0.214793741109531,0.287339971550498
LEGACY_2024_11,LEGACY,2024-11,logistic_balanced,3049,1034,1406,404,0.492326918327669,0.705393668109326,0.220001060854913,0.445229681978799,0.623762376237624,0.519587628865979,0.686626746506986,566,0.402560455192034,0.287339971550498
LEGACY_2024_11,LEGACY,2024-11,catboost_unweighted,3049,1034,1406,404,0.68027702668426,0.865904329953953,0.132618884937489,0.725856697819315,0.576732673267327,0.642758620689655,0.912175648702595,321,0.228307254623044,0.287339971550498
LEGACY_2024_11,LEGACY,2024-11,catboost_balanced,3049,1034,1406,404,0.668818108881814,0.863231457876327,0.138885582511031,0.679906542056075,0.72029702970297,0.699519230769231,0.863273453093812,428,0.304409672830725,0.287339971550498
