regime,candidate_model,threshold,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1,specificity,predicted_positives,predicted_positive_rate,false_discovery_rate,total_rows
LEGACY,prevalence,0.01,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.02,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.03,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.04,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.05,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.06,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.07,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.08,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.09,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.1,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.11,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.12,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.13,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.14,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.15,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.16,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.17,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.18,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.19,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.2,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.21,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.22,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.23,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.24,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.25,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.26,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.27,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.28,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.29,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.3,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.31,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.32,2252,5977,0,0,0.273666302102321,1,0.429729987596603,0,8229,1,0.726333697897679,8229
LEGACY,prevalence,0.33,1913,5017,960,339,0.276046176046176,0.849467140319716,0.416684818122413,0.160615693491718,6930,0.842143638352169,0.723953823953824,8229
LEGACY,prevalence,0.34,791,1991,3986,1461,0.284327821710999,0.351243339253996,0.314263011521653,0.666889744018738,2782,0.338072669826224,0.715672178289001,8229
LEGACY,prevalence,0.35,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.36,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.37,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.38,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.39,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.4,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.41,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.42,0,0,5977,2252,,0,0,1,0,0,,8229
