report_month,continuous_segment,identifier_regime,window_end_month,total_observations,eligible_observations,positive_events,negative_events,positive_rate,censored_observations,ambiguous_observations,walk_forward_eligible
2023-01,SEGMENT_1,LEGACY,2023-04,1454,0,0,0,0.0,89,1365,False
2023-02,SEGMENT_1,LEGACY,2023-05,1418,0,0,0,0.0,48,1370,False
2023-03,SEGMENT_1,LEGACY,2023-06,1449,0,0,0,0.0,87,1362,False
2023-04,SEGMENT_1,LEGACY,2023-07,1605,0,0,0,0.0,75,1530,False
2023-05,SEGMENT_1,LEGACY,2023-08,1681,0,0,0,0.0,80,1601,False
2023-06,SEGMENT_1,LEGACY,2023-09,1643,0,0,0,0.0,78,1565,False
2023-07,SEGMENT_1,LEGACY,2023-10,1646,0,0,0,0.0,104,1542,False
2023-08,SEGMENT_1,LEGACY,2023-11,1762,0,0,0,0.0,104,1658,False
2023-09,SEGMENT_1,LEGACY,2023-12,1763,0,0,0,0.0,1763,0,False
2023-10,SEGMENT_1,LEGACY,2024-01,1788,0,0,0,0.0,1788,0,False
2023-11,SEGMENT_1,LEGACY,2024-02,1831,0,0,0,0.0,1831,0,False
2024-01,SEGMENT_2,LEGACY,2024-04,1821,0,0,0,0.0,1821,0,False
2024-02,SEGMENT_2,LEGACY,2024-05,1902,0,0,0,0.0,1902,0,False
2024-03,SEGMENT_2,LEGACY,2024-06,1873,0,0,0,0.0,1873,0,False
2024-06,SEGMENT_3,LEGACY,2024-09,1810,1555,535,1020,0.3441,62,193,True
2024-07,SEGMENT_3,LEGACY,2024-10,1793,1494,499,995,0.334,113,186,True
2024-08,SEGMENT_3,LEGACY,2024-11,1783,1487,507,980,0.341,105,191,True
2024-09,SEGMENT_3,LEGACY,2024-12,1792,1556,542,1014,0.3483,125,111,True
2024-10,SEGMENT_3,LEGACY,2025-01,1747,1422,425,997,0.2989,75,250,True
2024-11,SEGMENT_3,LEGACY,2025-02,1742,1406,404,1002,0.2873,101,235,True
2024-12,SEGMENT_3,LEGACY,2025-03,1724,1399,391,1008,0.2795,85,240,True
2025-01,SEGMENT_3,LEGACY,2025-04,1719,1360,366,994,0.2691,97,262,True
2025-02,SEGMENT_3,LEGACY,2025-05,1682,1343,327,1016,0.2435,99,240,True
2025-03,SEGMENT_3,LEGACY,2025-06,1677,1299,339,960,0.261,129,249,True
2025-04,SEGMENT_3,LEGACY,2025-07,1670,0,0,0,0.0,1670,0,False
2025-05,SEGMENT_3,LEGACY,2025-08,1637,0,0,0,0.0,1637,0,False
2025-06,SEGMENT_3,LEGACY,2025-09,1595,0,0,0,0.0,1595,0,False
2025-07,SEGMENT_4,MODERN,2025-10,791,713,284,429,0.3983,74,4,True
2025-08,SEGMENT_4,MODERN,2025-11,800,730,303,427,0.4151,64,6,True
2025-09,SEGMENT_4,MODERN,2025-12,794,731,288,443,0.394,60,3,True
2025-10,SEGMENT_4,MODERN,2026-01,820,758,277,481,0.3654,58,4,True
2025-11,SEGMENT_4,MODERN,2026-02,823,769,287,482,0.3732,48,6,True
2025-12,SEGMENT_4,MODERN,2026-03,1392,1316,169,1147,0.1284,51,25,True
2026-01,SEGMENT_4,MODERN,2026-04,1702,1578,204,1374,0.1293,68,56,True
2026-02,SEGMENT_4,MODERN,2026-05,1948,1796,215,1581,0.1197,76,76,True
2026-03,SEGMENT_4,MODERN,2026-06,1941,1692,480,1212,0.2837,206,43,True
2026-04,SEGMENT_4,MODERN,2026-07,1981,1640,502,1138,0.3061,302,39,True
2026-05,SEGMENT_4,MODERN,2026-08,1987,0,0,0,0.0,1987,0,False
2026-06,SEGMENT_4,MODERN,2026-09,1847,0,0,0,0.0,1847,0,False
2026-07,SEGMENT_4,MODERN,2026-10,1775,0,0,0,0.0,1775,0,False
