regime,locked_model,score_type,bin_index,bin_lower,bin_upper,row_count,positive_count,mean_predicted_probability,observed_positive_rate,calibration_gap
LEGACY,catboost_full_v1__unweighted,RAW,1,0,0.1,12223,486,0.0249976691329292,0.0397611061114293,-0.0147634369785
LEGACY,catboost_full_v1__unweighted,RAW,2,0.1,0.2,2058,263,0.143563442128411,0.12779397473275,0.0157694673956611
LEGACY,catboost_full_v1__unweighted,RAW,3,0.2,0.3,1025,191,0.245008586054143,0.186341463414634,0.0586671226395086
LEGACY,catboost_full_v1__unweighted,RAW,4,0.3,0.4,578,140,0.346888563893204,0.242214532871972,0.104674031021232
LEGACY,catboost_full_v1__unweighted,RAW,5,0.4,0.5,363,118,0.44668900720802,0.325068870523416,0.121620136684604
LEGACY,catboost_full_v1__unweighted,RAW,6,0.5,0.6,280,99,0.544153543789232,0.353571428571429,0.190582115217803
LEGACY,catboost_full_v1__unweighted,RAW,7,0.6,0.7,160,75,0.647085454687808,0.46875,0.178335454687808
LEGACY,catboost_full_v1__unweighted,RAW,8,0.7,0.8,110,69,0.741448274065257,0.627272727272727,0.11417554679253
LEGACY,catboost_full_v1__unweighted,RAW,9,0.8,0.9,100,75,0.852105294448632,0.75,0.102105294448632
LEGACY,catboost_full_v1__unweighted,RAW,10,0.9,1,102,90,0.943012047781854,0.882352941176471,0.0606591066053831
LEGACY,catboost_full_v1__unweighted,OPERATIONAL,1,0,0.1,12223,486,0.0249976691329292,0.0397611061114293,-0.0147634369785
LEGACY,catboost_full_v1__unweighted,OPERATIONAL,2,0.1,0.2,2058,263,0.143563442128411,0.12779397473275,0.0157694673956611
LEGACY,catboost_full_v1__unweighted,OPERATIONAL,3,0.2,0.3,1025,191,0.245008586054143,0.186341463414634,0.0586671226395086
LEGACY,catboost_full_v1__unweighted,OPERATIONAL,4,0.3,0.4,578,140,0.346888563893204,0.242214532871972,0.104674031021232
LEGACY,catboost_full_v1__unweighted,OPERATIONAL,5,0.4,0.5,363,118,0.44668900720802,0.325068870523416,0.121620136684604
LEGACY,catboost_full_v1__unweighted,OPERATIONAL,6,0.5,0.6,280,99,0.544153543789232,0.353571428571429,0.190582115217803
LEGACY,catboost_full_v1__unweighted,OPERATIONAL,7,0.6,0.7,160,75,0.647085454687808,0.46875,0.178335454687808
LEGACY,catboost_full_v1__unweighted,OPERATIONAL,8,0.7,0.8,110,69,0.741448274065257,0.627272727272727,0.11417554679253
LEGACY,catboost_full_v1__unweighted,OPERATIONAL,9,0.8,0.9,100,75,0.852105294448632,0.75,0.102105294448632
LEGACY,catboost_full_v1__unweighted,OPERATIONAL,10,0.9,1,102,90,0.943012047781854,0.882352941176471,0.0606591066053831
MODERN,logistic_static_only__unweighted,RAW,1,0,0.1,1658,83,0.0447127075199466,0.0500603136308806,-0.00534760611093399
MODERN,logistic_static_only__unweighted,RAW,2,0.1,0.2,1275,223,0.147657585575733,0.174901960784314,-0.0272443752085804
MODERN,logistic_static_only__unweighted,RAW,3,0.2,0.3,1193,411,0.249558929288703,0.344509639564124,-0.0949507102754207
MODERN,logistic_static_only__unweighted,RAW,4,0.3,0.4,1201,704,0.350233668727791,0.586178184845962,-0.23594451611817
MODERN,logistic_static_only__unweighted,RAW,5,0.4,0.5,1215,927,0.44725238997332,0.762962962962963,-0.315710572989643
MODERN,logistic_static_only__unweighted,RAW,6,0.5,0.6,804,677,0.548374955301914,0.842039800995025,-0.293664845693111
MODERN,logistic_static_only__unweighted,RAW,7,0.6,0.7,387,302,0.640053019754319,0.780361757105943,-0.140308737351624
MODERN,logistic_static_only__unweighted,RAW,8,0.7,0.8,186,140,0.746068382859517,0.752688172043011,-0.00661978918349393
MODERN,logistic_static_only__unweighted,RAW,9,0.8,0.9,102,75,0.847047828807584,0.735294117647059,0.111753711160525
MODERN,logistic_static_only__unweighted,RAW,10,0.9,1,169,138,0.958459405736713,0.816568047337278,0.141891358399435
MODERN,logistic_static_only__unweighted,OPERATIONAL,1,0,0.1,1658,83,0.0439915625188384,0.0500603136308806,-0.00606875111204219
MODERN,logistic_static_only__unweighted,OPERATIONAL,2,0.1,0.2,1221,217,0.147462214741352,0.177723177723178,-0.030260962981826
MODERN,logistic_static_only__unweighted,OPERATIONAL,3,0.2,0.3,1127,391,0.248504278793647,0.346938775510204,-0.0984344967165567
MODERN,logistic_static_only__unweighted,OPERATIONAL,4,0.3,0.4,1170,676,0.350809647476164,0.577777777777778,-0.226968130301614
MODERN,logistic_static_only__unweighted,OPERATIONAL,5,0.4,0.5,1121,828,0.447677173875879,0.738626226583408,-0.290949052707529
MODERN,logistic_static_only__unweighted,OPERATIONAL,6,0.5,0.6,706,527,0.548892954191533,0.746458923512748,-0.197565969321215
MODERN,logistic_static_only__unweighted,OPERATIONAL,7,0.6,0.7,617,524,0.646178289720101,0.849270664505673,-0.203092374785572
MODERN,logistic_static_only__unweighted,OPERATIONAL,8,0.7,0.8,287,217,0.738822723931229,0.75609756097561,-0.0172748370443804
MODERN,logistic_static_only__unweighted,OPERATIONAL,9,0.8,0.9,103,75,0.846086280521168,0.728155339805825,0.117930940715343
MODERN,logistic_static_only__unweighted,OPERATIONAL,10,0.9,1,180,142,0.957183660135103,0.788888888888889,0.168294771246214
