regime,evaluation_month,locked_model,evaluation_rows,evaluation_positives,evaluation_prevalence,calibration_active,calibration_status,raw_average_precision,raw_roc_auc,raw_brier_score,raw_ece_10bin,operational_average_precision,operational_roc_auc,operational_brier_score,operational_ece_10bin,operational_precision_at_0_5,operational_recall_at_0_5,operational_f1_at_0_5,precision_at_100,precision_at_200,platt_slope,platt_intercept
LEGACY,2023-07,catboost_full_v1__unweighted,1480,144,0.0972972972972973,False,INACTIVE_RAW_OPERATIONAL_SCORE,0.317432979085178,0.77708125415835,0.0907675057137011,0.0618967189000043,0.317432979085178,0.77708125415835,0.0907675057137011,0.0618967189000043,0.3359375,0.298611111111111,0.316176470588235,0.34,0.295,,
LEGACY,2023-08,catboost_full_v1__unweighted,1590,130,0.0817610062893082,False,INACTIVE_RAW_OPERATIONAL_SCORE,0.318558020842367,0.808893572181243,0.0740204712897171,0.0454033173542198,0.318558020842367,0.808893572181243,0.0740204712897171,0.0454033173542198,0.346153846153846,0.276923076923077,0.307692307692308,0.35,0.275,,
LEGACY,2024-06,catboost_full_v1__unweighted,1706,141,0.0826494724501759,False,INACTIVE_RAW_OPERATIONAL_SCORE,0.36969146187591,0.784011963836585,0.0670290050784581,0.0367239849546016,0.36969146187591,0.784011963836585,0.0670290050784581,0.0367239849546016,0.6,0.212765957446809,0.31413612565445,0.41,0.295,,
LEGACY,2024-07,catboost_full_v1__unweighted,1633,160,0.0979791794243723,False,INACTIVE_RAW_OPERATIONAL_SCORE,0.352116213987599,0.777893754243042,0.0784698193363375,0.0321339785019222,0.352116213987599,0.777893754243042,0.0784698193363375,0.0321339785019222,0.541666666666667,0.1625,0.25,0.41,0.335,,
LEGACY,2024-08,catboost_full_v1__unweighted,1623,166,0.102279728897104,False,INACTIVE_RAW_OPERATIONAL_SCORE,0.337960528738107,0.751585614937444,0.0824759027297279,0.0290143074558815,0.337960528738107,0.751585614937444,0.0824759027297279,0.0290143074558815,0.448979591836735,0.132530120481928,0.204651162790698,0.41,0.305,,
LEGACY,2024-09,catboost_full_v1__unweighted,1613,169,0.104773713577185,False,INACTIVE_RAW_OPERATIONAL_SCORE,0.363294155675363,0.768009637922274,0.0840562983175249,0.0337397144990516,0.363294155675363,0.768009637922274,0.0840562983175249,0.0337397144990516,0.46969696969697,0.183431952662722,0.263829787234043,0.45,0.33,,
LEGACY,2024-10,catboost_full_v1__unweighted,1611,135,0.0837988826815642,False,INACTIVE_RAW_OPERATIONAL_SCORE,0.418576756072779,0.83404597008933,0.0630450247997446,0.024559486342175,0.418576756072779,0.83404597008933,0.0630450247997446,0.024559486342175,0.583333333333333,0.311111111111111,0.405797101449275,0.47,0.355,,
LEGACY,2024-11,catboost_full_v1__unweighted,1092,94,0.0860805860805861,False,INACTIVE_RAW_OPERATIONAL_SCORE,0.632825841950835,0.895716965846587,0.050513973182261,0.0149603433710465,0.632825841950835,0.895716965846587,0.050513973182261,0.0149603433710465,0.870967741935484,0.287234042553192,0.432,0.53,0.34,,
LEGACY,2024-12,catboost_full_v1__unweighted,1113,133,0.119496855345912,False,INACTIVE_RAW_OPERATIONAL_SCORE,0.632453623263964,0.839151450053706,0.0703022350661322,0.0374776154296715,0.632453623263964,0.839151450053706,0.0703022350661322,0.0374776154296715,0.954545454545455,0.315789473684211,0.474576271186441,0.68,0.42,,
LEGACY,2025-01,catboost_full_v1__unweighted,1109,135,0.121731289449955,False,INACTIVE_RAW_OPERATIONAL_SCORE,0.621403206106715,0.847714655106852,0.0737430744838583,0.0428037528616645,0.621403206106715,0.847714655106852,0.0737430744838583,0.0428037528616645,0.923076923076923,0.266666666666667,0.413793103448276,0.65,0.44,,
