regime,locked_model,analysis_type,method_or_view,metric,point_estimate,ci_lower,ci_upper,iterations,cluster_count,fold_mean,fold_std,fold_min,fold_max,notes
LEGACY,catboost_full_v1__unweighted,BOOTSTRAP_CONFIDENCE_INTERVAL,PROJECT_CLUSTER_BOOTSTRAP,average_precision,0.407094238003995,0.354744281482903,0.462074593717726,1000,2140,,,,,Project-level cluster bootstrap with all observation months grouped per project draw.
LEGACY,catboost_full_v1__unweighted,BOOTSTRAP_CONFIDENCE_INTERVAL,EVALUATION_MONTH_BLOCK_BOOTSTRAP,average_precision,0.407094238003995,0.346095275133535,0.483237963066242,1000,12,,,,,Month-level block bootstrap capturing temporal market-level co-movement.
LEGACY,catboost_full_v1__unweighted,BOOTSTRAP_CONFIDENCE_INTERVAL,PROJECT_CLUSTER_BOOTSTRAP,roc_auc,0.806439366634848,0.785084479980635,0.827021394826373,1000,2140,,,,,Project-level cluster bootstrap with all observation months grouped per project draw.
LEGACY,catboost_full_v1__unweighted,BOOTSTRAP_CONFIDENCE_INTERVAL,EVALUATION_MONTH_BLOCK_BOOTSTRAP,roc_auc,0.806439366634848,0.781045349972889,0.833924938966716,1000,12,,,,,Month-level block bootstrap capturing temporal market-level co-movement.
LEGACY,catboost_full_v1__unweighted,BOOTSTRAP_CONFIDENCE_INTERVAL,PROJECT_CLUSTER_BOOTSTRAP,brier_score,0.0719881716264486,0.0667610042694943,0.0772279899868236,1000,2140,,,,,Project-level cluster bootstrap with all observation months grouped per project draw.
LEGACY,catboost_full_v1__unweighted,BOOTSTRAP_CONFIDENCE_INTERVAL,EVALUATION_MONTH_BLOCK_BOOTSTRAP,brier_score,0.0719881716264486,0.0649269925365426,0.077987203161925,1000,12,,,,,Month-level block bootstrap capturing temporal market-level co-movement.
LEGACY,catboost_full_v1__unweighted,FOLD_STABILITY,ACROSS_ACCEPTED_FOLDS,average_precision,0.418370025666501,0.333109901764172,0.594150287250828,12,12,0.418370025666501,0.162753714136783,0.0710615394336613,0.632825841950835,Cross-fold distribution summary across 12 walk-forward origins.
LEGACY,catboost_full_v1__unweighted,FOLD_STABILITY,ACROSS_ACCEPTED_FOLDS,roc_auc,0.799836828249158,0.774813350099331,0.841292251316992,12,12,0.799836828249158,0.0648817226461848,0.638718456209797,0.895716965846587,Cross-fold distribution summary across 12 walk-forward origins.
LEGACY,catboost_full_v1__unweighted,FOLD_STABILITY,ACROSS_ACCEPTED_FOLDS,brier_score,0.0706639055736783,0.0660330100087797,0.0794713401846851,12,12,0.0706639055736783,0.0126223512353397,0.0457314458796748,0.0907675057137011,Cross-fold distribution summary across 12 walk-forward origins.
LEGACY,catboost_full_v1__unweighted,FOLD_STABILITY,ACROSS_ACCEPTED_FOLDS,prevalence,0.0941229559027799,0.0835115301237171,0.105551239539735,12,12,0.0941229559027799,0.0199877769964254,0.0437436419125127,0.121731289449955,Cross-fold distribution summary across 12 walk-forward origins.
LEGACY,catboost_full_v1__unweighted,AGGREGATION_COMPARISON,MICRO_CONCATENATED_POOLED,average_precision,0.407094238003995,,,,12,0.418370025666501,0.162753714136783,0.0710615394336613,0.632825841950835,Pooled micro score across all 16999 observations. Row-weighted mean: 0.411248.
LEGACY,catboost_full_v1__unweighted,AGGREGATION_COMPARISON,MICRO_CONCATENATED_POOLED,roc_auc,0.806439366634848,,,,12,0.799836828249158,0.0648817226461848,0.638718456209797,0.895716965846587,Pooled micro score across all 16999 observations. Row-weighted mean: 0.799574.
LEGACY,catboost_full_v1__unweighted,AGGREGATION_COMPARISON,MICRO_CONCATENATED_POOLED,brier_score,0.0719881716264486,,,,12,0.0706639055736783,0.0126223512353397,0.0457314458796748,0.0907675057137011,Pooled micro score across all 16999 observations. Row-weighted mean: 0.071988.
MODERN,logistic_static_only__unweighted,BOOTSTRAP_CONFIDENCE_INTERVAL,PROJECT_CLUSTER_BOOTSTRAP,average_precision,0.748744691177597,0.722393243937205,0.774409177483549,1000,1980,,,,,Project-level cluster bootstrap with all observation months grouped per project draw.
MODERN,logistic_static_only__unweighted,BOOTSTRAP_CONFIDENCE_INTERVAL,EVALUATION_MONTH_BLOCK_BOOTSTRAP,average_precision,0.748744691177597,0.699293936332472,0.790936267953045,1000,5,,,,,Month-level block bootstrap capturing temporal market-level co-movement.
MODERN,logistic_static_only__unweighted,BOOTSTRAP_CONFIDENCE_INTERVAL,PROJECT_CLUSTER_BOOTSTRAP,roc_auc,0.834505085317652,0.820736141813197,0.84842896109436,1000,1980,,,,,Project-level cluster bootstrap with all observation months grouped per project draw.
