regime,locked_model,dimension,subgroup_name,sample_size,positive_count,prevalence,average_precision,roc_auc,brier_score,ece_10bin,precision_at_0_5,recall_at_0_5,f1_at_0_5,statistically_insufficient,notes
LEGACY,catboost_full_v1__unweighted,sector,OTHER_SECTORS,2854,213,0.0746320953048353,0.360458158342228,0.803428421088185,0.0578828974484016,0.0317696745837949,0.647887323943662,0.215962441314554,0.323943661971831,False,Sufficient statistical support.
LEGACY,catboost_full_v1__unweighted,sector,PETROLEUM,1213,122,0.100577081615829,0.331437067133283,0.780882330844014,0.0790969397931361,0.0341862709217162,0.476190476190476,0.0819672131147541,0.13986013986014,False,Sufficient statistical support.
LEGACY,catboost_full_v1__unweighted,sector,POWER,1051,53,0.0504281636536632,0.0591480434238299,0.578515521609256,0.0526760971766118,0.0372077358811164,0,0,0,False,Sufficient statistical support.
LEGACY,catboost_full_v1__unweighted,sector,RAILWAYS,2065,162,0.0784503631961259,0.305299980282066,0.770265273155447,0.0650877642486117,0.0396300620157913,0.590909090909091,0.160493827160494,0.252427184466019,False,Sufficient statistical support.
LEGACY,catboost_full_v1__unweighted,sector,ROAD TRANSPORT AND HIGHWAYS,9816,1056,0.107579462102689,0.466442565237534,0.833141885464232,0.0787302099516285,0.0311569690919734,0.532679738562091,0.308712121212121,0.390887290167866,False,Sufficient statistical support.
LEGACY,catboost_full_v1__unweighted,project_cost_bracket,COST_1000_TO_5000CR,4800,484,0.100833333333333,0.450397322047592,0.807427101923268,0.0728995006027032,0.0295398022954637,0.639423076923077,0.274793388429752,0.384393063583815,False,Sufficient statistical support.
LEGACY,catboost_full_v1__unweighted,project_cost_bracket,COST_5000CR_PLUS,802,61,0.0760598503740648,0.243202913242631,0.732439547797615,0.0655067288960119,0.0330919137196128,0.454545454545455,0.0819672131147541,0.138888888888889,False,Sufficient statistical support.
LEGACY,catboost_full_v1__unweighted,project_cost_bracket,COST_500_TO_1000CR,4045,456,0.112731767614339,0.555763976747451,0.856823114487249,0.0710672260760416,0.0137206779270197,0.682819383259912,0.339912280701754,0.453879941434846,False,Sufficient statistical support.
LEGACY,catboost_full_v1__unweighted,project_cost_bracket,COST_UNDER_500CR,7352,605,0.0822905331882481,0.289552413227809,0.776195603310685,0.0726069097569144,0.0391074640716407,0.375816993464052,0.190082644628099,0.252469813391877,False,Sufficient statistical support.
LEGACY,catboost_full_v1__unweighted,project_age_bracket,AGE_2_TO_5Y,7733,897,0.115996379154274,0.41835949780859,0.799257227622404,0.0860361183177975,0.0285891920200157,0.568965517241379,0.220735785953177,0.318072289156627,False,Sufficient statistical support.
LEGACY,catboost_full_v1__unweighted,project_age_bracket,AGE_5Y_PLUS,6220,646,0.103858520900322,0.423113966821147,0.774449817318577,0.0801701230523503,0.041772102789462,0.516455696202532,0.315789473684211,0.39193083573487,False,Sufficient statistical support.
LEGACY,catboost_full_v1__unweighted,project_age_bracket,AGE_UNDER_2Y,3046,63,0.020682862770847,0.15042077361274,0.750762255958367,0.0196163693830769,0.0087816749215986,0.666666666666667,0.0952380952380952,0.166666666666667,False,Sufficient statistical support.
LEGACY,catboost_full_v1__unweighted,schedule_has_been_revised,NOT_PREVIOUSLY_REVISED,12270,449,0.0365933170334148,0.0798957280381053,0.69252052093317,0.0390402545347835,0.0249055894527981,0.152173913043478,0.0311804008908686,0.0517560073937153,False,Sufficient statistical support.
