regime,locked_model,threshold_type,target_parameter,threshold_value,threshold_status,history_only_enforced,population_rows,predicted_positives,alert_rate,tp,fp,fn,tn,precision,recall,f1,specificity,fpr,fnr,notes
LEGACY,catboost_full_v1__unweighted,GRID_RESEARCH,tau=0.01,0.01,RESEARCH_ONLY,True,16999,12359,0.727042767221601,1524,10835,82,4558,0.123310947487661,0.948941469489415,0.218259935553169,0.296108620801663,0.703891379198337,0.0510585305105853,Fixed grid operating point evaluated on pooled evaluation population.
LEGACY,catboost_full_v1__unweighted,GRID_RESEARCH,tau=0.02,0.02,RESEARCH_ONLY,True,16999,9877,0.581034178481087,1453,8424,153,6969,0.147109446188114,0.904732254047322,0.253069755290429,0.452738257649581,0.547261742350419,0.0952677459526775,Fixed grid operating point evaluated on pooled evaluation population.
LEGACY,catboost_full_v1__unweighted,GRID_RESEARCH,tau=0.03,0.03,RESEARCH_ONLY,True,16999,8437,0.496323313136067,1390,7047,216,8346,0.164750503733555,0.865504358655044,0.27680971821169,0.542194503995323,0.457805496004677,0.134495641344956,Fixed grid operating point evaluated on pooled evaluation population.
LEGACY,catboost_full_v1__unweighted,GRID_RESEARCH,tau=0.04,0.04,RESEARCH_ONLY,True,16999,7485,0.440320018824637,1333,6152,273,9241,0.178089512358049,0.830012453300125,0.293257067429326,0.60033781589034,0.39966218410966,0.169987546699875,Fixed grid operating point evaluated on pooled evaluation population.
LEGACY,catboost_full_v1__unweighted,GRID_RESEARCH,tau=0.05,0.05,RESEARCH_ONLY,True,16999,6820,0.401200070592388,1289,5531,317,9862,0.18900293255132,0.802615193026152,0.30595774982198,0.640680828948223,0.359319171051777,0.197384806973848,Fixed grid operating point evaluated on pooled evaluation population.
LEGACY,catboost_full_v1__unweighted,GRID_RESEARCH,tau=0.06,0.06,RESEARCH_ONLY,True,16999,6265,0.368551091240661,1241,5024,365,10369,0.198084596967279,0.772727272727273,0.315334773218143,0.67361787825635,0.32638212174365,0.227272727272727,Fixed grid operating point evaluated on pooled evaluation population.
LEGACY,catboost_full_v1__unweighted,GRID_RESEARCH,tau=0.07,0.07,RESEARCH_ONLY,True,16999,5836,0.343314312606624,1208,4628,398,10765,0.206991089787526,0.752179327521793,0.324643912926633,0.699343857597609,0.300656142402391,0.247820672478207,Fixed grid operating point evaluated on pooled evaluation population.
LEGACY,catboost_full_v1__unweighted,GRID_RESEARCH,tau=0.08,0.08,RESEARCH_ONLY,True,16999,5458,0.321077710453556,1183,4275,423,11118,0.216746060828142,0.736612702366127,0.334937712344281,0.722276359384136,0.277723640615864,0.263387297633873,Fixed grid operating point evaluated on pooled evaluation population.
LEGACY,catboost_full_v1__unweighted,GRID_RESEARCH,tau=0.09,0.09,RESEARCH_ONLY,True,16999,5088,0.299311724219072,1148,3940,458,11453,0.22562893081761,0.714819427148194,0.342993725724529,0.744039498473332,0.255960501526668,0.285180572851806,Fixed grid operating point evaluated on pooled evaluation population.
LEGACY,catboost_full_v1__unweighted,GRID_RESEARCH,tau=0.10,0.1,RESEARCH_ONLY,True,16999,4776,0.280957703394317,1120,3656,486,11737,0.234505862646566,0.697384806973848,0.350987151363209,0.762489443253427,0.237510556746573,0.302615193026152,Fixed grid operating point evaluated on pooled evaluation population.
