project_code,project_name,agency,ministry,sector,state,approval_date,start_date,original_completion_date,revised_completion_date,actual_completion_date,original_cost,revised_cost,cumulative_expenditure,report_month,approval_date_raw,start_date_raw,original_completion_date_raw,revised_completion_date_raw,actual_completion_date_raw,original_cost_raw,revised_cost_raw,cumulative_expenditure_raw,source_file,source_page,source_row_number,source_serial_number,extraction_method
N16000282,SITARGANJ LPG PROJECT Central Sector Projects,INDIAN OIL CORPORATION LIMITED,,PETROLEUM,,,,2020-02,,,160.1,,125.58,2023-04,,,02/2020,,,160.10,,125.58,FR_APril_2023.pdf,24,8,1,pdfplumber-table2-v1
N16000303,REVAMPING OF EXISTING FACILITIES/ AUGMENTATION OF FACILITIES AT BAITALPUR DEPOT FOR,INDIAN OIL CORPORATION LIMITED,,PETROLEUM,,,,2021-08,,,318.8,,224.25,2023-04,,,08/2021,,,318.80,,224.25,FR_APril_2023.pdf,24,9,2,pdfplumber-table2-v1
N16000318,LPG BP PROJECT JODHPUR,INDIAN OIL CORPORATION LIMITED,,PETROLEUM,,,,,,,229.8,,165.84,2023-04,,,-,,,229.80,,165.84,FR_APril_2023.pdf,24,10,3,pdfplumber-table2-v1
N16000336,"AUGMENTATION OF LPG IMPORT TERMINAL FROM 0.6 MMTPA TO 2.5 MMTPA AT KANDLA, GUJARAT",INDIAN OIL CORPORATION LIMITED,,PETROLEUM,,,,,,,588.2,,393.17,2023-04,,,-,,,588.20,,393.17,FR_APril_2023.pdf,24,11,4,pdfplumber-table2-v1
N16000353,ETHANOL PRODUCTION FROM PSA OFF GAS BASED ON LANZATECH TECHNOLOGY AT PANIPAT REFINERY,INDIAN OIL CORPORATION LIMITED,,PETROLEUM,,,,2020-02,,,598.0,,679.2,2023-04,,,02/2020,,,598.00,,679.20,FR_APril_2023.pdf,24,12,5,pdfplumber-table2-v1
N16000355,SULTANPUR JHAJJAR HISSAR PIPELINE (SJHPL) PROJECT,GAS AUTHORITY OF INDIA LIMITED,,PETROLEUM,,,,2020-08,,,286.42,,241.8,2023-04,,,08/2020,,,286.42,,241.80,FR_APril_2023.pdf,24,13,6,pdfplumber-table2-v1
N16000476,CITY GAS DISTRIBUTION NETWORK PROJECT AT RUPNAGAR Central Sector Projects,BHARAT PETROLEUM CORPORATION LIMITED,,PETROLEUM,,,,2023-06,,,172.7,,122.76,2023-04,,,06/2023,,,172.70,,122.76,FR_APril_2023.pdf,24,14,7,pdfplumber-table2-v1
N18000164,EASTERN REGION STRENGTHENING SCHEME-XII,POWER GRID CORPORATION OF INDIA LIMITED,,POWER,,,,2016-11,,,522.29,,481.11,2023-04,,,11/2016,,,522.29,,481.11,FR_APril_2023.pdf,24,17,8,pdfplumber-table2-v1
N18000242,ESTABLISHMENT OF 220/66KV GIS AT UT CHANDIGARH ALONG WITH 220KV D/C LINE FROM CHANDIGARH GIS TO 400/,POWER GRID CORPORATION OF INDIA LIMITED,,POWER,,,,2019-02,,,322.3,,206.86,2023-04,,,02/2019,,,322.30,,206.86,FR_APril_2023.pdf,24,18,9,pdfplumber-table2-v1
N18000245,SYSTEM STRENGTHENING SCHEME IN NORTH REGION XXXVII,POWER GRID CORPORATION OF INDIA LIMITED,,POWER,,,,2019-12,,,379.95,,277.82,2023-04,,,12/2019,,,379.95,,277.82,FR_APril_2023.pdf,24,19,10,pdfplumber-table2-v1
N18000258,EASTERN REGION STRENGTHENING SCHEME-XVIII Central Sector Projects,POWER GRID CORPORATION OF INDIA LIMITED,,POWER,,,,2020-07,,,3500.0,,3183.32,2023-04,,,07/2020,,,"3,500.00",,"3,183.32",FR_APril_2023.pdf,24,20,11,pdfplumber-table2-v1
N18000301,TRANSMISSION SYSTEM FOR PROVIDING CONNECTIVITY TO RE PROJECTS AT BHUJ-II (2000 MW) IN GUJARAT,POWER GRID CORPORATION OF INDIA LIMITED,,POWER,,,,2021-08,,,1031.0,,1024.67,2023-04,,,08/2021,,,"1,031.00",,"1,024.67",FR_APril_2023.pdf,24,21,12,pdfplumber-table2-v1
N18000308,NORTHERN REGION SYSTEM STRENGTHENING - XL,POWER GRID CORPORATION OF INDIA LIMITED,,POWER,,,,2020-12,,,572.98,,306.67,2023-04,,,12/2020,,,572.98,,306.67,FR_APril_2023.pdf,24,22,13,pdfplumber-table2-v1
N18000315,EASTERN REGION STRENGTHENING SCHEME - XXIII,POWER GRID CORPORATION OF INDIA LIMITED,,POWER,,,,2021-06,,,239.89,,167.56,2023-04,,,06/2021,,,239.89,,167.56,FR_APril_2023.pdf,24,23,14,pdfplumber-table2-v1
N21000025,ALL INDIA INSTITUTE OF MEDICAL SCIENCE AT GORAKHPUR (U.P.),HLL Infra Tech Services Limited,,HEALTH AND FAMILY WELFARE,,,,2020-04,,,785.0,,642.64,2023-04,,,04/2020,,,785.00,,642.64,FR_APril_2023.pdf,24,26,15,pdfplumber-table2-v1
N24000616,CONSTRUCTION OF 2-LANE ROAD FROM EXISTING KM 21.500 OF HUNLI-ANINI ROAD( NEAR ITHUN BRIDGE) TO KM 37,NATIONAL HIGHWAYS AND INFRASTRUCTURE DEVELOPMENT CORPORATION Ltd.,,ROAD TRANSPORT AND HIGHWAYS,,,,2019-12,,,245.79,,188.33,2023-04,,,12/2019,,,245.79,,188.33,FR_APril_2023.pdf,25,4,16,pdfplumber-table2-v1
N24000690,TWO LANING OF EXISTING KHUPA HAYULIANG HAWAI ROAD ON EPC BASIS FROM DESIGN KM. 0.000 (KHUPA) TO KM.,NATIONAL HIGHWAYS AND INFRASTRUCTURE DEVELOPMENT CORPORATION Ltd.,,ROAD TRANSPORT AND HIGHWAYS,,,,2020-11,,,198.22,,164.05,2023-04,,,11/2020,,,198.22,,164.05,FR_APril_2023.pdf,25,5,17,pdfplumber-table2-v1
N24001182,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDER OF FLEXIBLE PAVEMENT FROM KM 42.80 TO KM 60.30 ON NH NO.1,MINISTRY OF ROAD TRANSPORT AND HIGHWAYS (STATE PWDs),,ROAD TRANSPORT AND HIGHWAYS,,,,2021-01,,,205.95,,164.0,2023-04,,,01/2021,,,205.95,,164.00,FR_APril_2023.pdf,25,6,18,pdfplumber-table2-v1
N24001496,SINNAR-SHIRDI (INCLUDING SINNAR BYPASS) PPP BOT (Hybrid Annuity),NATIONAL HIGHWAYS AUTHORITY OF INDIA,,ROAD TRANSPORT AND HIGHWAYS,,,,2022-08,,,1026.0,,868.51,2023-04,,,08/2022,,,"1,026.00",,868.51,FR_APril_2023.pdf,25,7,19,pdfplumber-table2-v1
N28000085,NAGPUR METRO RAIL,NAGPUR METRO RAIL CORPORATION LTD,,URBAN DEVELOPMENT,,,,2018-03,,,8680.0,,8491.14,2023-04,,,03/2018,,,"8,680.00",,"8,491.14",FR_APril_2023.pdf,25,10,20,pdfplumber-table2-v1
N24000866,UP-GRADATION TO 4-LANE WITH PAVED SHOULDER OF JAMMU- AKHNOOR SECTION OF NH-144A FROM CANAL HEAD (KM 0,NATIONAL HIGHWAYS AND INFRASTRUCTURE DEVELOPMENT CORPORATION Ltd.,,ROAD TRANSPORT AND HIGHWAYS,,,,2021-02,,,404.17,,324.05,2023-05,,,02/2021,,,404.17,,324.05,FR_may_2023.pdf,26,15,21,pdfplumber-table2-v1
N24001152,"STRENGTHENING WITH PAVED SHOULDER FROM KM 30/0 TO KM 46/0, KM 54/0 TO KM 61/0, KM 69/0 TO KM 80/0 AN",MINISTRY OF ROAD TRANSPORT AND HIGHWAYS (STATE PWDs),,ROAD TRANSPORT AND HIGHWAYS,,,,2021-09,,,160.0,,142.53,2023-05,,,09/2021,,,160.00,,142.53,FR_may_2023.pdf,26,16,22,pdfplumber-table2-v1
N24001243,"BALANCE WORK FOR ""IMPROVEMENT OF EXISTING SINGLE INTERMEDIATE LANE ROAD OF NH-44 TO BE 2-LANE ROAD W",MINISTRY OF ROAD TRANSPORT AND HIGHWAYS (STATE PWDs),,ROAD TRANSPORT AND HIGHWAYS,,,,2020-12,,,166.94,,113.72,2023-05,,,12/2020,,,166.94,,113.72,FR_may_2023.pdf,26,17,23,pdfplumber-table2-v1
N24001250,WIDENING/IMPROVEMENT TO 4-LANE WITH PAVED SHOULDER FROM KM 66.00 TO KM 81.00 (DESIGN CHAINAGE 65.923 EPC,NATIONAL HIGHWAYS AND INFRASTRUCTURE DEVELOPMENT CORPORATION Ltd.,,ROAD TRANSPORT AND HIGHWAYS,,,,2022-03,,,278.46,,246.11,2023-05,,,03/2022,,,278.46,,246.11,FR_may_2023.pdf,26,18,24,pdfplumber-table2-v1
