project_code,legacy_ocms_code,pmgid,project_name,agency,ministry,sector,state,approval_date,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,report_month,approval_date_raw,start_date_raw,original_completion_date_raw,revised_completion_date_raw,original_cost_raw,revised_cost_raw,cumulative_expenditure_raw,physical_progress_raw,source_file,source_page,source_pages,source_row_number,source_serial_number,extraction_method
020100044,,,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",BHAVNI,,ATOMIC ENERGY,TAMIL NADU,2003-09,,2010-09,2022-10,3492.0,6840.0,6480.72,,2023-01,9/2003,,9/2010,10/2022,"3,492.00","6,840.00","6,480.72",,FR_jan_2023.pdf,133,133,3,1,pdfplumber-lines-v1
060100093,,,GEVRA EXPANSION OCP (SECL) (35- 70) MTY,SECL,,COAL,CHHATISGARH,2010-06,,2023-03,,11816.4,,5562.56,,2023-01,6/2010,,3/2023,,"11,816.40",,"5,562.56",,FR_jan_2023.pdf,140,140,2,129,pdfplumber-lines-v1
180100210,,,PARBATI HEP (4X200 MW) (NHPC) II,NHPC,,POWER,HIMACHAL PRADESH,2002-09,,2009-09,2023-12,3919.59,11134.54,10275.06,,2023-01,9/2002,,9/2009,12/2023,"3,919.59","11,134.54","10,275.06",,FR_jan_2023.pdf,155,155,14,382,pdfplumber-lines-v1
180100221,,,SUBANSIRI LOWER H.E.P (8X250 MW) (NHPC),NHPC,,POWER,ARUNACHAL PRADESH,2003-09,,2010-09,2024-06,6285.33,19992.43,17239.89,,2023-01,9/2003,,9/2010,6/2024,"6,285.33","19,992.43","17,239.89",,FR_jan_2023.pdf,155,155,9,377,pdfplumber-lines-v1
180100242,,,BARH STPP(3X660MW) NTPC,NTPC,,POWER,BIHAR,2005-02,,2011-10,2023-07,8692.97,21312.11,20627.7,,2023-01,2/2005,,10/2011,7/2023,"8,692.97","21,312.11","20,627.70",,FR_jan_2023.pdf,155,155,16,384,pdfplumber-lines-v1
220100133,,,"UDHAMPUR-SRINAGAR-BARAMULLA (NL),NR",NR,,RAILWAYS,JAMMU AND KASHMIR,1995-03,,2002-11,2023-06,2500.0,37012.26,32874.72,,2023-01,3/1995,,11/2002,6/2023,"2,500.00","37,012.26","32,874.72",,FR_jan_2023.pdf,164,164,15,539,pdfplumber-lines-v1
220100164,,,BELAPUR-SEAWOOD-URAN ELECTRIFIED DOUBLE LINE(MTP),MRTP,,RAILWAYS,MAHARASHTRA,1996-03,,2004-03,,495.44,,2410.68,,2023-01,3/1996,,3/2004,,495.44,,"2,410.68",,FR_jan_2023.pdf,163,163,1,506,pdfplumber-lines-v1
220100181,,,AHMEDNAGAR-PARLI VAIJNATH(NL) CR,CR,,RAILWAYS,MAHARASHTRA,1997-02,,2021-03,,2271.5,,3316.3,,2023-01,2/1997,,3/2021,,"2,271.50",,"3,316.30",,FR_jan_2023.pdf,160,160,5,453,pdfplumber-lines-v1
220100184,,,"DAUSA-GANGAPUR CITY(NL),NWR",NWR,,RAILWAYS,RAJASTHAN,1997-02,,2019-02,,410.08,,880.11,,2023-01,2/1997,,2/2019,,410.08,,880.11,,FR_jan_2023.pdf,164,164,10,534,pdfplumber-lines-v1
220100188,,,"NANGALDAM-TALWARA(NL),NR",NR,,RAILWAYS,MULTI STATE,1981-03,,2012-07,,450.0,,845.23,,2023-01,3/1981,,7/2012,,450.00,,845.23,,FR_jan_2023.pdf,165,165,0,543,pdfplumber-lines-v1
